Label,Count,Avg(ms),Min,Max,StdDev
SaveTransform_PlayerImage,187,0.00,0,0,0.00
SaveTransform_PlayerTransformEffect,187,0.00,0,0,0.00
SaveTransform_HandL,187,0.03,0,6,0.44
SaveTransform_HandR,187,0.02,0,4,0.29
SaveTransform_FootR,187,0.00,0,0,0.00
SaveTransform_FootL,187,0.00,0,0,0.00
SaveTransform_Head,187,0.00,0,0,0.00
SaveTransform_ElbowL,187,0.00,0,0,0.00
SaveTransform_ElbowR,187,0.00,0,0,0.00
SaveTransform_SpineBase,187,0.00,0,0,0.00
SaveTransform_KneeL,187,0.00,0,0,0.00
SaveTransform_KneeR,187,0.00,0,0,0.00
SaveTransform_Player,187,0.07,0,6,0.59
SaveTransform_Ground,187,0.00,0,0,0.00
SaveTransform_Passport3,86,0.00,0,0,0.00
SaveTransform_Passport,86,0.00,0,0,0.00
SaveTransform_Coin,86,0.00,0,0,0.00
SaveTransform_Suitcase,172,0.00,0,0,0.00
ImageSave,86,50.99,46,85,5.67
GatherData,86,53.51,48,98,6.49
LogData,8,6.63,0,15,6.84
SaveTransform_Bomb_0,17,0.00,0,0,0.00
SaveTransform_Bomb_1,17,0.00,0,0,0.00
SaveTransform_Bomb_2,18,0.00,0,0,0.00
SaveTransform_Bomb_3,17,0.00,0,0,0.00
SaveTransform_Bomb_4,18,0.00,0,0,0.00
SaveTransform_Bomb_5,15,0.00,0,0,0.00
SaveTransform_Bomb_6,3,0.00,0,0,0.00
