Label,Count,Avg(ms),Min,Max,StdDev
SaveTransform_PlayerImage,220,0.00,0,0,0.00
SaveTransform_PlayerTransformEffect,220,0.00,0,0,0.00
SaveTransform_HandL,220,0.00,0,0,0.00
SaveTransform_HandR,220,0.00,0,0,0.00
SaveTransform_FootR,220,0.00,0,0,0.00
SaveTransform_FootL,220,0.00,0,0,0.00
SaveTransform_Head,220,0.00,0,0,0.00
SaveTransform_ElbowL,220,0.00,0,0,0.00
SaveTransform_ElbowR,220,0.00,0,0,0.00
SaveTransform_SpineBase,220,0.00,0,0,0.00
SaveTransform_KneeL,220,0.00,0,0,0.00
SaveTransform_KneeR,220,0.00,0,0,0.00
SaveTransform_Player,220,0.01,0,2,0.13
SaveTransform_Ground,220,0.00,0,0,0.00
SaveTransform_Passport3,90,0.00,0,0,0.00
SaveTransform_Passport,90,0.00,0,0,0.00
SaveTransform_Coin,90,0.00,0,0,0.00
SaveTransform_Suitcase,180,0.00,0,0,0.00
ImageSave,90,50.41,46,85,5.08
GatherData,90,53.31,48,96,5.97
LogData,9,6.11,0,15,6.84
SaveTransform_Bomb_0,16,0.00,0,0,0.00
SaveTransform_Bomb_1,19,0.00,0,0,0.00
SaveTransform_Bomb_2,19,0.00,0,0,0.00
SaveTransform_Bomb_3,18,0.00,0,0,0.00
SaveTransform_Bomb_4,18,0.00,0,0,0.00
SaveTransform_Bomb_5,17,0.00,0,0,0.00
SaveTransform_Bomb_6,18,0.00,0,0,0.00
SaveTransform_Bomb_7,19,0.00,0,0,0.00
SaveTransform_Bomb_8,15,0.00,0,0,0.00
SaveTransform_Bomb_9,3,0.00,0,0,0.00
