fps,num_folds,train_samples,holdout_samples,train_accuracy,train_precision,train_recall,train_f1,train_accuracy_std,train_precision_std,train_recall_std,train_f1_std,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1
1,5,625,95,0.7249487177044227,0.507804054054054,0.6299584076054665,0.5567165996833516,0.11571014300104594,0.28522927387957053,0.31997661423559853,0.2934209722074151,0.9473684210526315,0.0,0.0,0.0
3,5,855,46,0.8266557308502598,0.6249187253848908,0.776422005766811,0.6901988836095974,0.03447899830672045,0.04074457675673351,0.10155260828047147,0.06018525770144772,1.0,0.0,0.0,0.0
5,5,2623,248,0.8595624908710258,0.8171409923469062,0.8174474240569711,0.8152134681196086,0.021323712312897217,0.05892111487627849,0.03252255474198256,0.022784885728736208,0.9395161290322581,0.945054945054945,0.8958333333333334,0.9197860962566845
