fps,num_folds,train_samples,holdout_samples,train_accuracy,train_precision,train_recall,train_f1,train_accuracy_std,train_precision_std,train_recall_std,train_f1_std,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1
1,5,625,95,0.9249465528155397,0.8698348697854626,0.9221601704259553,0.8946758694984203,0.019015094502587274,0.044712970383310215,0.030351817539590018,0.03178587251417076,0.9473684210526315,0.0,0.0,0.0
3,5,855,46,0.949005538635596,0.9496855151100856,0.825013024013024,0.8804019399625693,0.02155654828954551,0.036813764714199206,0.10539226815108008,0.07169297072100989,1.0,0.0,0.0,0.0
5,5,2623,248,0.952225699586489,0.9283827631172727,0.9466177517877814,0.9373256024089682,0.012494375588840641,0.016319220893684244,0.02136035959255284,0.016666733799466486,0.907258064516129,0.8476190476190476,0.9270833333333334,0.8855721393034826
