Aspect   ,Model          ,App           ,Accuracy  ,Precision  ,Recall   ,F1
Temporal  ,P_T            ,War           ,0.4260,0.4195,0.9655,0.5849
,,,,,,
Spatial,RF,Archery,0.8800,0.9300,0.9300,0.9300
Spatial,RF,PhantomLimb,0.5630,0.1230,0.5620,0.2020
Spatial,RF,PianoTiles,0.5180,0.0000,0.0000,0.0000
Spatial,RF,Puzzle,0.2880,0.0000,0.0000,0.0000
Spatial,RF,Sea,0.8130,0.9420,0.6140,0.7430
Spatial,RF,War,0.6860,0.5420,1.0000,0.7030
,,,,,,
Spatial,HGB,Archery,0.8600,0.8600,1.0000,0.9250
Spatial,HGB,PhantomLimb,0.5230,0.0870,0.4060,0.1440
Spatial,HGB,PianoTiles,0.5110,0.3330,0.0140,0.0270
Spatial,HGB,Puzzle,0.2880,0.0000,0.0000,0.0000
Spatial,HGB,Sea,0.7930,0.9270,0.5760,0.7100
Spatial,HGB,War,0.6680,0.5300,0.9420,0.6780
,,,,,,
Spatial,XGBoost,Archery,0.8600,0.8600,1.0000,0.9250
Spatial,XGBoost,PhantomLimb,0.4770,0.1330,0.7810,0.2270
Spatial,XGBoost,PianoTiles,0.5180,0.0000,0.0000,0.0000
Spatial,XGBoost,Puzzle,0.2880,0.0000,0.0000,0.0000
Spatial,XGBoost,Sea,0.8170,0.9430,0.6210,0.7490
Spatial,XGBoost,War,0.6820,0.5410,0.9620,0.6920
,,,,,,
Temporal  ,LR        ,Archery       ,0.8750,0.8750,1.0000,0.9330
Temporal  ,LR        ,PhantomLimb   ,0.9380,0.9450,0.9020,0.9230
Temporal  ,LR        ,PianoTiles    ,0.8970,0.6550,0.3520,0.4580
Temporal  ,LR        ,Puzzle        ,0.5490,0.7730,0.5920,0.6700
Temporal  ,LR        ,Sea           ,0.4630,0.4570,1.0000,0.6280
Temporal  ,LR        ,War           ,0.5180,0.4660,0.9910,0.6340
,,,,,,
Temporal,T,Archery,0.8750,0.8750,1.0000,0.9330
Temporal,T,PhantomLimb,0.5860,0.0000,0.0000,0.0000
Temporal,T,PianoTiles,0.8510,0.4070,0.4440,0.4250
Temporal,T,Puzzle,0.7780,0.7770,1.0000,0.8750
Temporal,T,Sea,0.5710,1.0000,0.0520,0.0990
Temporal,T,War,0.7570,0.8020,0.5600,0.6600
