fps,num_folds,train_samples,holdout_samples,train_accuracy,train_precision,train_recall,train_f1,train_accuracy_std,train_precision_std,train_recall_std,train_f1_std,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1
1,5,625,95,0.790115116582422,0.8125757123311471,0.5029170167003267,0.5846517132779285,0.029142327041091383,0.05119927987785387,0.21632300393789797,0.22833285135196157,0.9578947368421052,0.6666666666666666,0.4,0.5
3,5,855,46,0.8190680137052331,0.6226814505372558,0.3815681725681726,0.4475398066159829,0.06721405900100309,0.3352593913912759,0.27553698537874716,0.30510650202534606,1.0,0.0,0.0,0.0
5,5,2623,248,0.8244524379342746,0.7328968284961921,0.84307925056897,0.7833657755635517,0.01252426528809057,0.03089963992917101,0.031046259821880463,0.019231635686601446,0.8064516129032258,0.7105263157894737,0.84375,0.7714285714285715
