game,num_executions,total_rows,defect_count,frequency,coverage,coverage_pct,instability,instability_rate,num_defect_segments,mean_segment_length,median_segment_length,max_segment_length
Archery,3,425,121,0.2847058823529412,0.2847058823529412,28.47058823529412,13,0.030805687203791468,8,15.125,13.0,33
PhantomLimb,47,4105,2663,0.648721071863581,0.648721071863581,64.8721071863581,128,0.031542631838344014,105,25.36190476190476,10.0,262
PhantomLimb Holdout,6,391,290,0.7416879795396419,0.7416879795396419,74.16879795396419,11,0.02857142857142857,11,26.363636363636363,20.0,84
PianoTiles,1,440,386,0.8772727272727273,0.8772727272727273,87.72727272727273,14,0.03189066059225513,8,48.25,14.0,206
Puzzle,1,300,86,0.2866666666666667,0.2866666666666667,28.666666666666668,8,0.026755852842809364,5,17.2,16.0,30
Sea,1,300,164,0.5466666666666666,0.5466666666666666,54.666666666666664,5,0.016722408026755852,3,54.666666666666664,7.0,151
War,1,281,165,0.5871886120996441,0.5871886120996441,58.718861209964416,6,0.02142857142857143,4,41.25,31.0,87
