GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024021220951,-0.5766896,3.256333,-2.544136,-0.5715641,3.149164,-2.487905,-0.5567876,2.818207,-2.332952,-0.5378967,2.36474,-2.139645,-0.5715641,3.149164,-2.487905,-0.5715641,3.149164,-2.487905,-0.5378967,2.36474,-2.139645,-0.5378967,2.36474,-2.139645,-0.2267578,3.036956,-2.413058,-0.140236,2.583901,-2.335952,-0.282229,2.280627,-2.551554,-0.3599197,2.163512,-2.649231,-0.282229,2.280627,-2.551554,-0.9121514,3.046619,-2.464401,-0.9810538,2.595226,-2.408658,-0.7964054,2.194896,-2.600636,-0.7151345,2.136544,-2.647778,-0.7964054,2.194896,-2.600636,-0.3775435,2.366275,-2.185236,-0.01514286,1.944348,-2.644572,0.1499392,1.014249,-2.515194,-0.7049088,2.353498,-2.210833,-0.9291043,1.908679,-2.716035,-0.9801087,0.9701469,-2.603552,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,124.831411,123.6433935,125.6264511,135.3207617,0.2504207,0.2063186,1.841519901,0,0
2,12182024021222002,-0.8132741,2.882259,-6.844419,-0.8086387,2.775623,-6.787479,-0.795015,2.445927,-6.630623,-0.7768678,1.993345,-6.435947,-0.8086387,2.775623,-6.787479,-0.8086387,2.775623,-6.787479,-0.7768678,1.993345,-6.435947,-0.7768678,1.993345,-6.435947,-0.46559,2.665702,-6.708542,-0.379428,2.212422,-6.631627,-0.5183693,1.910627,-6.845795,-0.5959639,1.795711,-6.940555,-0.5183693,1.910627,-6.845795,-1.15104,2.675409,-6.759923,-1.220637,2.22529,-6.706906,-1.025126,1.82252,-6.902061,-0.9479519,1.765343,-6.943007,-1.025126,1.82252,-6.902061,-0.6164771,1.994569,-6.481734,-0.2526368,1.572965,-6.939932,-0.08628559,0.6426666,-6.772283,-0.9438821,1.982213,-6.506964,-1.172457,1.538253,-7.010815,-1.232617,0.5994065,-6.860621,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,122.8953433,121.6767074,125.8741388,134.6331915,-0.1211617,-0.1644218,1.847774348,0,0
3,12182024021222086,-0.8131426,2.882113,-6.844639,-0.8085277,2.775496,-6.787675,-0.7949622,2.44586,-6.630736,-0.7768643,1.993339,-6.435971,-0.8085277,2.775496,-6.787675,-0.8085277,2.775496,-6.787675,-0.7768643,1.993339,-6.435971,-0.7768643,1.993339,-6.435971,-0.4655568,2.665692,-6.708555,-0.3794323,2.212403,-6.631628,-0.51825,1.910766,-6.845706,-0.5958181,1.795901,-6.940347,-0.51825,1.910766,-6.845706,-1.15101,2.675407,-6.759938,-1.220631,2.225327,-6.707087,-1.024228,1.82221,-6.902822,-0.9465156,1.764683,-6.943638,-1.024228,1.82221,-6.902822,-0.6164728,1.99455,-6.481758,-0.2527824,1.572993,-6.939894,-0.08645004,0.6426365,-6.773224,-0.9438781,1.982213,-6.506986,-1.1724,1.53834,-7.010756,-1.23257,0.5994486,-6.861539,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.9474425,121.7312056,125.8774937,134.5657068,-0.1211918,-0.1643797,1.847515071,0,1
4,12182024021222269,-0.8127851,2.881745,-6.845209,-0.8082195,2.77517,-6.788194,-0.7948009,2.445674,-6.631063,-0.7768462,1.993314,-6.436065,-0.8082195,2.77517,-6.788194,-0.8082195,2.77517,-6.788194,-0.7768462,1.993314,-6.436065,-0.7768462,1.993314,-6.436065,-0.4654385,2.665659,-6.708597,-0.3794644,2.212246,-6.631652,-0.517238,1.90439,-6.848182,-0.5953485,1.796003,-6.939908,-0.517238,1.90439,-6.848182,-1.150913,2.675402,-6.759988,-1.220615,2.225492,-6.707572,-1.042872,1.821182,-6.896771,-0.958604,1.769634,-6.940409,-1.042872,1.821182,-6.896771,-0.6164513,1.994481,-6.481848,-0.2532983,1.573477,-6.939641,-0.08613402,0.6420574,-6.767558,-0.9438594,1.982215,-6.507072,-1.172228,1.53905,-7.010437,-1.234259,0.5990443,-6.856012,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.6832006,121.4638669,126.3248818,136.4523855,-0.1217709,-0.164784,1.848833353,0,1
5,12182024021222484,-0.8124924,2.881472,-6.84561,-0.8079574,2.774918,-6.788579,-0.7946393,2.445507,-6.631365,-0.7768162,1.993277,-6.436212,-0.8079574,2.774918,-6.788579,-0.8079574,2.774918,-6.788579,-0.7768162,1.993277,-6.436212,-0.7768162,1.993277,-6.436212,-0.4652951,2.665623,-6.708642,-0.37952,2.211983,-6.631706,-0.5167621,1.899104,-6.850008,-0.5954966,1.795586,-6.939939,-0.5167621,1.899104,-6.850008,-1.150806,2.675399,-6.760044,-1.2206,2.225631,-6.707913,-1.037503,1.821211,-6.899141,-0.9538269,1.767355,-6.942326,-1.037503,1.821211,-6.899141,-0.6164235,1.994395,-6.481972,-0.2535289,1.573857,-6.939322,-0.08622366,0.6412709,-6.761637,-0.9438262,1.982216,-6.507216,-1.172238,1.539683,-7.010158,-1.235418,0.5985234,-6.850244,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.398107,121.1712228,126.6843626,135.9451406,-0.1225574,-0.1653049,1.850311297,0,1
6,12182024021222682,-0.8122716,2.881262,-6.845894,-0.8077554,2.774718,-6.788862,-0.7945051,2.445359,-6.631621,-0.7767918,1.993234,-6.436383,-0.8077554,2.774718,-6.788862,-0.8077554,2.774718,-6.788862,-0.7767918,1.993234,-6.436383,-0.7767918,1.993234,-6.436383,-0.4651587,2.665597,-6.708682,-0.3795835,2.211712,-6.631789,-0.5140734,1.891782,-6.852932,-0.5959212,1.793718,-6.940817,-0.5140734,1.891782,-6.852932,-1.150694,2.675393,-6.760103,-1.220576,2.225692,-6.708161,-1.033359,1.82086,-6.901213,-0.9496331,1.765765,-6.943583,-1.033359,1.82086,-6.901213,-0.6164023,1.994303,-6.482112,-0.2511945,1.569415,-6.938838,-0.08650023,0.6406217,-6.760437,-0.9437981,1.982211,-6.50739,-1.174095,1.53533,-7.010094,-1.235671,0.5981797,-6.849163,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.5440333,121.3132533,127.2742451,135.5585296,-0.1232066,-0.1656486,1.849633949,0,1
7,12182024021222901,-0.812075,2.881076,-6.846147,-0.8075706,2.774535,-6.789124,-0.7943752,2.445204,-6.631891,-0.776779,1.993173,-6.436614,-0.8075706,2.774535,-6.789124,-0.8075706,2.774535,-6.789124,-0.776779,1.993173,-6.436614,-0.776779,1.993173,-6.436614,-0.4649984,2.665573,-6.708733,-0.3796926,2.211339,-6.631964,-0.50906,1.8669,-6.865242,-0.5956283,1.789839,-6.942567,-0.50906,1.8669,-6.865242,-1.150566,2.675385,-6.760174,-1.220558,2.225745,-6.708388,-1.028353,1.820225,-6.903273,-0.9449301,1.763089,-6.945338,-1.028353,1.820225,-6.903273,-0.6163946,1.994186,-6.482298,-0.2509796,1.56831,-6.93852,-0.08660138,0.6393273,-6.760539,-0.9437789,1.982195,-6.507627,-1.174277,1.534493,-7.009955,-1.23586,0.5972348,-6.849457,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.6408658,121.4064005,128.6624918,135.1260977,-0.124501,-0.1665935,1.850035264,0,1
8,12182024021223086,-0.8119595,2.880977,-6.846288,-0.8074566,2.774432,-6.78928,-0.7942818,2.445104,-6.632089,-0.7767606,1.993114,-6.436843,-0.8074566,2.774432,-6.78928,-0.8074566,2.774432,-6.78928,-0.7767606,1.993114,-6.436843,-0.7767606,1.993114,-6.436843,-0.4648846,2.665557,-6.708768,-0.3797575,2.211119,-6.632083,-0.5104846,1.87751,-6.860153,-0.5954129,1.790183,-6.942286,-0.5104846,1.87751,-6.860153,-1.150477,2.67538,-6.760226,-1.220545,2.225791,-6.708541,-1.02611,1.820812,-6.903583,-0.9433368,1.761825,-6.946005,-1.02611,1.820812,-6.903583,-0.6163801,1.994077,-6.482499,-0.251184,1.567939,-6.938316,-0.08673924,0.6384151,-6.76038,-0.9437571,1.982181,-6.507851,-1.17419,1.5344,-7.009794,-1.236062,0.5966525,-6.849383,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.6858572,121.4462331,128.1592214,134.9212836,-0.1254132,-0.1671758,1.850338653,0,1
9,12182024021223271,-0.8118454,2.880865,-6.84636,-0.8073502,2.774323,-6.789383,-0.7941988,2.445004,-6.632251,-0.7767478,1.993052,-6.437074,-0.8073502,2.774323,-6.789383,-0.8073502,2.774323,-6.789383,-0.7767478,1.993052,-6.437074,-0.7767478,1.993052,-6.437074,-0.4647542,2.665549,-6.708796,-0.3798084,2.210923,-6.632187,-0.5115405,1.886271,-6.855824,-0.5951672,1.790537,-6.941922,-0.5115405,1.886271,-6.855824,-1.150373,2.675375,-6.760287,-1.220532,2.225842,-6.708693,-1.024006,1.822696,-6.902948,-0.9423051,1.761147,-6.946465,-1.024006,1.822696,-6.902948,-0.6163619,1.993967,-6.482698,-0.2518101,1.568161,-6.938066,-0.08683211,0.6374558,-6.759996,-0.94375,1.982166,-6.508065,-1.173817,1.534927,-7.009503,-1.23638,0.5960201,-6.849064,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.7081781,121.4639342,127.7420648,134.6995676,-0.1263725,-0.1678082,1.850789947,0,1
10,12182024021223455,-0.8117784,2.880827,-6.846349,-0.8072906,2.774279,-6.789409,-0.7941584,2.444961,-6.632318,-0.7767372,1.99303,-6.437184,-0.8072906,2.774279,-6.789409,-0.8072906,2.774279,-6.789409,-0.7767372,1.99303,-6.437184,-0.7767372,1.99303,-6.437184,-0.4646744,2.665553,-6.708798,-0.379831,2.210832,-6.632228,-0.5124052,1.892242,-6.853187,-0.5948964,1.791038,-6.941575,-0.5124052,1.892242,-6.853187,-1.150304,2.675372,-6.760324,-1.220526,2.22589,-6.708775,-1.022564,1.821303,-6.904333,-0.9415751,1.763122,-6.94622,-1.022564,1.821303,-6.904333,-0.6163453,1.993922,-6.482789,-0.2514825,1.567531,-6.938033,-0.08679348,0.6369216,-6.759764,-0.9437461,1.982165,-6.508166,-1.174119,1.5344,-7.009547,-1.236563,0.5956335,-6.848884,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,122.727952,121.4803024,127.4054552,134.6047842,-0.1269067,-0.1681948,1.851108943,0,1
