GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024020519586,-0.7623705,3.139221,-3.003594,-0.7650427,3.002825,-2.959925,-0.7730228,2.578045,-2.844436,-0.783451,1.98933,-2.7088,-0.7650427,3.002825,-2.959925,-0.7650427,3.002825,-2.959925,-0.783451,1.98933,-2.7088,-0.783451,1.98933,-2.7088,-0.4045319,2.954439,-3.020375,-0.3559387,2.499355,-3.160274,-0.596276,2.560889,-3.498581,-0.6341113,2.630333,-3.606173,-0.596276,2.560889,-3.498581,-1.122595,2.9788,-2.941079,-1.282767,2.500561,-2.732639,-1.315609,2.053657,-2.781578,-1.304363,1.888808,-2.791971,-1.315609,2.053657,-2.781578,-0.6207998,1.9859,-2.784388,-0.5925258,1.402363,-2.583955,-0.6123511,0.7159306,-2.196412,-0.9458587,1.988514,-2.77243,-0.9952847,1.405602,-2.569139,-0.9847593,0.7189254,-2.182712,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,168.7513295,168.544695,92.18276517,148.0740454,-0.0478977,-0.0449029,1.585562448,0,0
2,12182024020521259,-0.7421209,3.022534,-6.523516,-0.745795,2.885941,-6.479939,-0.7570922,2.460474,-6.365084,-0.7723137,1.87122,-6.230858,-0.745795,2.885941,-6.479939,-0.745795,2.885941,-6.479939,-0.7723137,1.87122,-6.230858,-0.7723137,1.87122,-6.230858,-0.3958675,2.835525,-6.539787,-0.3311765,2.379499,-6.675694,-0.5765139,2.469588,-7.048866,-0.6042479,2.503903,-7.086417,-0.5765139,2.469588,-7.048866,-1.104654,2.863345,-6.464427,-1.269511,2.387779,-6.258136,-1.302869,1.943537,-6.308506,-1.295354,1.775789,-6.315413,-1.302869,1.943537,-6.308506,-0.6088111,1.867137,-6.305376,-0.5907562,1.290706,-6.092813,-0.6193494,0.6044052,-5.695252,-0.9356776,1.871383,-6.295523,-0.9830941,1.295801,-6.080986,-0.9775072,0.6090565,-5.684456,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,169.4710591,169.3020827,88.36633712,147.8037881,-0.1594231,-0.1547718,1.588019516,0,1
3,12182024020522288,-0.7441958,3.055524,-6.558969,-0.746411,2.916457,-6.50868,-0.754023,2.48401,-6.375805,-0.7635978,1.891678,-6.220484,-0.746411,2.916457,-6.50868,-0.746411,2.916457,-6.50868,-0.7635978,1.891678,-6.220484,-0.7635978,1.891678,-6.220484,-0.3969789,2.83975,-6.539392,-0.2317709,2.436153,-6.371549,-0.4523206,2.197598,-6.660706,-0.606032,2.191508,-6.752618,-0.4523206,2.197598,-6.660706,-1.099157,2.862048,-6.496892,-1.233485,2.365005,-6.35418,-1.203294,1.925798,-6.429955,-1.150869,1.772642,-6.449511,-1.203294,1.925798,-6.429955,-0.598897,1.889305,-6.295301,-0.5701088,1.299406,-6.088228,-0.5801409,0.6084008,-5.69832,-0.9285998,1.890125,-6.283793,-0.9771454,1.300418,-6.074021,-0.977227,0.6093886,-5.684461,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,169.3660661,169.2272215,93.1902924,148.4684589,-0.1554275,-0.1544397,1.600247765,0,1
4,12182024020523371,-0.5744087,3.081381,-6.549236,-0.5806064,2.943152,-6.498323,-0.600948,2.512887,-6.359126,-0.6302561,1.917982,-6.187442,-0.5806064,2.943152,-6.498323,-0.5806064,2.943152,-6.498323,-0.6302561,1.917982,-6.187442,-0.6302561,1.917982,-6.187442,-0.2441887,2.841581,-6.527747,-0.07129371,2.426127,-6.437023,-0.3462682,2.243125,-6.719273,-0.4794874,2.224291,-6.830045,-0.3462682,2.243125,-6.719273,-0.9310702,2.88214,-6.500479,-1.054762,2.422558,-6.329111,-1.03021,2.012444,-6.397011,-0.9870569,1.840819,-6.376247,-1.03021,2.012444,-6.397011,-0.471286,1.912537,-6.263188,-0.4498529,1.264484,-6.082213,-0.517481,0.5987923,-5.664043,-0.7949629,1.91782,-6.250237,-0.8788708,1.271487,-6.065047,-0.8642342,0.6044521,-5.650168,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,162.159861,162.1574312,90.82749069,145.600702,-0.165036,-0.1593762,1.639495461,0,1
5,12182024020524278,-0.7478796,3.132969,-6.378518,-0.7446426,2.993967,-6.32742,-0.7350296,2.561008,-6.189695,-0.7223173,1.961642,-6.023524,-0.7446426,2.993967,-6.32742,-0.7446426,2.993967,-6.32742,-0.7223173,1.961642,-6.023524,-0.7223173,1.961642,-6.023524,-0.3948432,2.921926,-6.345233,-0.2516992,2.495454,-6.208947,-0.4833907,2.314308,-6.506223,-0.6259236,2.30176,-6.576733,-0.4833907,2.314308,-6.506223,-1.092276,2.889617,-6.350969,-1.218956,2.36959,-6.201783,-1.212039,1.910155,-6.233141,-1.175151,1.745335,-6.247169,-1.212039,1.910155,-6.233141,-0.5603502,1.965681,-6.091405,-0.5314274,1.338835,-5.891129,-0.5742546,0.6438391,-5.564781,-0.8860598,1.950603,-6.094527,-0.8850831,1.322463,-5.894519,-0.817025,0.6326005,-5.567108,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,170.6286718,170.8006167,91.04182175,155.7732414,-0.1199892,-0.1312278,1.604672057,0,0
6,12182024020525267,-0.5811275,2.853434,-6.548765,-0.5833548,2.719462,-6.491379,-0.5911305,2.302224,-6.33613,-0.6030499,1.724377,-6.150145,-0.5833548,2.719462,-6.491379,-0.5833548,2.719462,-6.491379,-0.6030499,1.724377,-6.150145,-0.6030499,1.724377,-6.150145,-0.2239978,2.654286,-6.47943,-0.08240968,2.242974,-6.362825,-0.2741787,2.048557,-6.683244,-0.3796076,1.997754,-6.85256,-0.2741787,2.048557,-6.683244,-0.9368288,2.64237,-6.519256,-1.086218,2.130794,-6.376618,-1.107804,1.654418,-6.411017,-1.100257,1.515806,-6.417848,-1.107804,1.654418,-6.411017,-0.4419847,1.724185,-6.217584,-0.2891108,1.137123,-6.287226,-0.3354209,0.4976474,-5.809334,-0.7701449,1.727794,-6.22159,-0.931946,1.144192,-6.295074,-0.9195856,0.5040711,-5.816465,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,133.3276931,133.6177384,94.67446274,156.5697365,-0.2661809,-0.2597572,1.591176879,0,0
7,12182024020526280,-0.5989452,2.765707,-6.526128,-0.6015168,2.62949,-6.468426,-0.6106883,2.207482,-6.310433,-0.6249551,1.629538,-6.115453,-0.6015168,2.62949,-6.468426,-0.6015168,2.62949,-6.468426,-0.6249551,1.629538,-6.115453,-0.6249551,1.629538,-6.115453,-0.2446874,2.562738,-6.449785,-0.1230381,2.137316,-6.354232,-0.3515375,2.092086,-6.765088,-0.4023699,2.075887,-6.865119,-0.3515375,2.092086,-6.765088,-0.9529475,2.551553,-6.500634,-1.102105,2.036263,-6.373676,-1.097494,1.615218,-6.400642,-1.066534,1.461806,-6.408121,-1.097494,1.615218,-6.400642,-0.4617996,1.630713,-6.180991,-0.293859,1.087091,-6.318035,-0.3765689,0.4714921,-5.845129,-0.7938389,1.633403,-6.189138,-0.9614413,1.092499,-6.334414,-0.9235701,0.4759237,-5.858549,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,124.0709998,124.4731006,77.07692791,156.2203512,-0.2923362,-0.2879046,1.548686058,0,0
8,12182024020527254,-0.6319869,2.809446,-6.49172,-0.6323685,2.671486,-6.438341,-0.6344517,2.24306,-6.293838,-0.639218,1.653568,-6.117287,-0.6323685,2.671486,-6.438341,-0.6323685,2.671486,-6.438341,-0.639218,1.653568,-6.117287,-0.639218,1.653568,-6.117287,-0.2682948,2.598931,-6.417603,-0.1572846,2.155499,-6.384487,-0.380571,2.128321,-6.752212,-0.4330234,2.146511,-6.858295,-0.380571,2.128321,-6.752212,-0.9851775,2.582318,-6.475765,-1.12227,2.064969,-6.361476,-1.110595,1.624582,-6.406736,-1.083328,1.466922,-6.417054,-1.110595,1.624582,-6.406736,-0.4769116,1.656541,-6.18404,-0.307176,1.094992,-6.314658,-0.3807664,0.4762783,-5.833486,-0.8068125,1.655057,-6.189488,-0.9665225,1.092026,-6.325546,-0.9139886,0.4738798,-5.842291,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,125.1061039,125.4273799,82.75562016,155.7968022,-0.28755,-0.2899485,1.569727375,0,0
9,12182024020528264,-0.6388625,2.821142,-6.476818,-0.6389425,2.68345,-6.42446,-0.6399949,2.255796,-6.283396,-0.6426843,1.665846,-6.113122,-0.6389425,2.68345,-6.42446,-0.6389425,2.68345,-6.42446,-0.6426843,1.665846,-6.113122,-0.6426843,1.665846,-6.113122,-0.2740291,2.611593,-6.401425,-0.158992,2.165344,-6.370869,-0.3938894,2.177303,-6.758378,-0.4261078,2.168238,-6.835154,-0.3938894,2.177303,-6.758378,-0.9935396,2.594057,-6.459871,-1.127814,2.082083,-6.348031,-1.117274,1.631654,-6.401468,-1.082966,1.467618,-6.406458,-1.117274,1.631654,-6.401468,-0.4804018,1.669116,-6.180153,-0.3095627,1.10361,-6.305772,-0.3815966,0.4789693,-5.827929,-0.8100511,1.666603,-6.185067,-0.9686918,1.098585,-6.315597,-0.9125061,0.4749222,-5.835843,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,126.0814913,126.3942401,77.81207739,155.4267066,-0.284859,-0.2889061,1.575048955,0,0
10,12182024020529293,-0.6398863,3.012365,-6.536597,-0.6401013,2.874739,-6.481709,-0.6415106,2.446046,-6.332502,-0.6442841,1.853148,-6.151971,-0.6401013,2.874739,-6.481709,-0.6401013,2.874739,-6.481709,-0.6442841,1.853148,-6.151971,-0.6442841,1.853148,-6.151971,-0.2864536,2.795664,-6.482406,-0.142548,2.392731,-6.365838,-0.3515547,2.201033,-6.693599,-0.4638279,2.207287,-6.818417,-0.3515547,2.201033,-6.693599,-0.9944458,2.787196,-6.512042,-1.127244,2.283727,-6.385633,-1.091763,1.833683,-6.427138,-1.053731,1.697587,-6.421406,-1.091763,1.833683,-6.427138,-0.482602,1.856345,-6.220734,-0.3680354,1.227793,-6.173594,-0.3836744,0.5263727,-5.804375,-0.8108568,1.845728,-6.221958,-0.9205408,1.209923,-6.175654,-0.9157394,0.5091634,-5.806359,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,0,153.995602,154.4071348,92.67125054,153.1000796,-0.2374556,-0.2546649,1.619813982,0,1
