GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
669,09182024052010518,-0.685121,3.414681,-5.946733,-0.7003491,3.291732,-5.901009,-0.7468161,2.910711,-5.77883,-0.8073508,2.384003,-5.637242,-0.7003491,3.291732,-5.901009,-0.7003491,3.291732,-5.901009,-0.8073508,2.384003,-5.637242,-0.8073508,2.384003,-5.637242,-0.3783441,3.14767,-5.767976,-0.2782521,2.646746,-5.47508,-0.23941,2.167989,-5.453492,-0.2084475,2.105606,-5.620407,-0.23941,2.167989,-5.453492,-1.02061,3.249325,-5.779672,-1.267223,2.94028,-5.363467,-1.319581,2.495678,-5.207306,-1.330581,2.453849,-5.158298,-1.319581,2.495678,-5.207306,-0.6782755,2.369089,-5.690261,-0.2185194,2.039676,-6.178097,0.126803,1.411782,-6.605209,-0.9379954,2.396257,-5.711686,-1.35608,2.158672,-6.271937,-1.73913,1.60697,-6.759133,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
670,09182024052010700,-0.6808654,3.41419,-5.946225,-0.6966044,3.291263,-5.900578,-0.7445856,2.910371,-5.778481,-0.8080248,2.384053,-5.635318,-0.6966044,3.291263,-5.900578,-0.6966044,3.291263,-5.900578,-0.8080248,2.384053,-5.635318,-0.8080248,2.384053,-5.635318,-0.3758935,3.146081,-5.769539,-0.2773588,2.647044,-5.475914,-0.2199503,2.150729,-5.515476,-0.2125677,2.101082,-5.626268,-0.2199503,2.150729,-5.515476,-1.018281,3.249188,-5.780116,-1.266659,2.935758,-5.372604,-1.340018,2.491623,-5.215821,-1.373318,2.397979,-5.170099,-1.340018,2.491623,-5.215821,-0.6788084,2.3682,-5.688791,-0.1362547,2.097664,-6.251146,0.3362178,1.646997,-6.930028,-0.9392186,2.397335,-5.708738,-1.425166,2.24187,-6.349875,-1.873004,1.894168,-7.099252,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
671,09182024052010898,-0.678877,3.41307,-5.947162,-0.69486,3.290209,-5.901439,-0.7437651,2.90941,-5.779156,-0.8096715,2.383114,-5.635015,-0.69486,3.290209,-5.901439,-0.69486,3.290209,-5.901439,-0.8096715,2.383114,-5.635015,-0.8096715,2.383114,-5.635015,-0.3742954,3.144589,-5.771108,-0.2771841,2.646887,-5.477487,-0.2402905,2.155452,-5.501898,-0.2174498,2.099826,-5.63048,-0.2402905,2.155452,-5.501898,-1.017104,3.2473,-5.782518,-1.265318,2.924455,-5.379467,-1.354286,2.473505,-5.230806,-1.389578,2.357794,-5.180218,-1.354286,2.473505,-5.230806,-0.6806477,2.366258,-5.688879,-0.206557,2.022748,-6.268638,0.05442584,1.391363,-6.832604,-0.9410245,2.39723,-5.707907,-1.380427,2.16238,-6.354424,-1.687031,1.59851,-6.95987,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
672,09182024052011111,-0.6809389,3.410263,-5.951448,-0.6965501,3.287553,-5.905239,-0.7451406,2.907034,-5.781876,-0.8123546,2.380964,-5.636425,-0.6965501,3.287553,-5.905239,-0.6965501,3.287553,-5.905239,-0.8123546,2.380964,-5.636425,-0.8123546,2.380964,-5.636425,-0.3740383,3.14283,-5.772983,-0.2778049,2.646641,-5.480291,-0.2514581,2.156618,-5.497618,-0.2184762,2.098301,-5.632846,-0.2514581,2.156618,-5.497618,-1.019414,3.244428,-5.786581,-1.264524,2.917054,-5.383841,-1.3521,2.4591,-5.244561,-1.387043,2.328929,-5.192553,-1.3521,2.4591,-5.244561,-0.6835296,2.363367,-5.690517,-0.3194155,1.904511,-6.240068,-0.339172,1.034522,-6.469232,-0.9436916,2.395715,-5.709185,-1.30958,2.027629,-6.311118,-1.44659,1.17222,-6.548694,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
673,09182024052011282,-0.6934208,3.404518,-5.960955,-0.7068182,3.281814,-5.914027,-0.7506642,2.901499,-5.788741,-0.8152782,2.375425,-5.641383,-0.7068182,3.281814,-5.914027,-0.7068182,3.281814,-5.914027,-0.8152782,2.375425,-5.641383,-0.8152782,2.375425,-5.641383,-0.3802559,3.139944,-5.776777,-0.2808222,2.645073,-5.484386,-0.2502717,2.157257,-5.491152,-0.2202509,2.097463,-5.637475,-0.2502717,2.157257,-5.491152,-1.033229,3.23745,-5.797716,-1.275698,2.914546,-5.395129,-1.341202,2.453515,-5.255148,-1.343144,2.399261,-5.148429,-1.341202,2.453515,-5.255148,-0.6870736,2.358334,-5.695317,-0.410755,1.851609,-6.20874,-0.7396117,0.9293267,-5.901509,-0.9459935,2.389498,-5.714495,-1.235098,1.950827,-6.269795,-1.146898,0.9783474,-5.931675,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
674,09182024052011501,-0.7086491,3.400188,-5.968287,-0.7195221,3.277026,-5.921226,-0.7569113,2.895993,-5.794994,-0.8164355,2.369127,-5.646178,-0.7195221,3.277026,-5.921226,-0.7195221,3.277026,-5.921226,-0.8164355,2.369127,-5.646178,-0.8164355,2.369127,-5.646178,-0.3909151,3.139134,-5.779276,-0.2866414,2.643211,-5.488523,-0.2500004,2.157317,-5.49402,-0.2189425,2.094309,-5.64197,-0.2500004,2.157317,-5.49402,-1.049719,3.228965,-5.80987,-1.296539,2.924495,-5.41686,-1.329579,2.470376,-5.256036,-1.309484,2.482456,-5.13533,-1.329579,2.470376,-5.256036,-0.6888476,2.353498,-5.699901,-0.4547484,1.837258,-6.205413,-0.8110549,1.032613,-5.713655,-0.9464554,2.381532,-5.719514,-1.18546,1.916776,-6.261047,-1.056344,1.059306,-5.732329,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
675,09182024052011702,-0.718106,3.399417,-5.968168,-0.7271826,3.275631,-5.922049,-0.7598758,2.893402,-5.797343,-0.8157676,2.365219,-5.648527,-0.7271826,3.275631,-5.922049,-0.7271826,3.275631,-5.922049,-0.8157676,2.365219,-5.648527,-0.8157676,2.365219,-5.648527,-0.3994695,3.140064,-5.777955,-0.2919736,2.642202,-5.490608,-0.2504843,2.157904,-5.508101,-0.2195581,2.090851,-5.649734,-0.2504843,2.157904,-5.508101,-1.059793,3.22366,-5.81483,-1.305073,2.927158,-5.425823,-1.324026,2.477836,-5.254683,-1.294427,2.506333,-5.165226,-1.324026,2.477836,-5.254683,-0.688337,2.350803,-5.702268,-0.4782592,1.875431,-6.238368,-0.7787546,1.119186,-5.820251,-0.9456091,2.376386,-5.721823,-1.142803,1.941512,-6.28888,-1.037566,1.144922,-5.839924,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
676,09182024052011891,-0.7261213,3.400506,-5.962868,-0.7337847,3.276154,-5.91855,-0.7621064,2.892232,-5.797819,-0.8130463,2.363489,-5.649864,-0.7337847,3.276154,-5.91855,-0.7337847,3.276154,-5.91855,-0.8130463,2.363489,-5.649864,-0.8130463,2.363489,-5.649864,-0.4045206,3.141833,-5.774301,-0.2968616,2.642015,-5.491501,-0.2512957,2.15995,-5.5275,-0.2220277,2.088297,-5.657888,-0.2512957,2.15995,-5.5275,-1.06301,3.22311,-5.812356,-1.308658,2.917522,-5.425197,-1.318471,2.471185,-5.248304,-1.308942,2.349929,-5.169379,-1.318471,2.471185,-5.248304,-0.6841684,2.350243,-5.703807,-0.5076578,1.915319,-6.274677,-0.812557,1.16285,-5.888622,-0.9440949,2.373968,-5.72303,-1.092876,1.968735,-6.317958,-0.9627743,1.176561,-5.899732,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
677,09182024052012072,-0.7291125,3.402731,-5.955607,-0.7360757,3.27799,-5.912709,-0.7619975,2.892536,-5.795924,-0.8053477,2.363509,-5.650286,-0.7360757,3.27799,-5.912709,-0.7360757,3.27799,-5.912709,-0.8053477,2.363509,-5.650286,-0.8053477,2.363509,-5.650286,-0.4077052,3.143714,-5.769883,-0.3005609,2.642427,-5.491799,-0.2539927,2.162153,-5.523668,-0.2262657,2.089068,-5.663564,-0.2539927,2.162153,-5.523668,-1.065025,3.223022,-5.808799,-1.305682,2.887849,-5.409524,-1.312482,2.442776,-5.234,-1.31169,2.287643,-5.164797,-1.312482,2.442776,-5.234,-0.674027,2.352094,-5.704262,-0.5184374,1.933036,-6.290161,-0.8160286,1.108333,-5.989697,-0.9390742,2.372696,-5.723466,-1.053822,1.974652,-6.328953,-0.9058233,1.115312,-5.996203,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
678,09182024052012310,-0.732613,3.404272,-5.950081,-0.7389023,3.279385,-5.90801,-0.7623526,2.893008,-5.794132,-0.8007494,2.363433,-5.651091,-0.7389023,3.279385,-5.90801,-0.7389023,3.279385,-5.90801,-0.8007494,2.363433,-5.651091,-0.8007494,2.363433,-5.651091,-0.4106119,3.145284,-5.76468,-0.3035567,2.642808,-5.491827,-0.2530971,2.163612,-5.531396,-0.2278402,2.088808,-5.667717,-0.2530971,2.163612,-5.531396,-1.067149,3.221754,-5.806973,-1.303707,2.858838,-5.394156,-1.316335,2.411661,-5.223529,-1.317322,2.253248,-5.163029,-1.316335,2.411661,-5.223529,-0.6684453,2.353013,-5.705015,-0.5252511,1.936661,-6.296555,-0.732146,1.006397,-6.221527,-0.9357798,2.371799,-5.724356,-1.030374,1.972156,-6.333098,-0.9370503,1.020796,-6.236351,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0
