GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach
1,10182024023656012,-0.7897151,2.658958,-2.464941,-0.7812029,2.524596,-2.44769,-0.7555699,2.110406,-2.413339,-0.7215451,1.542689,-2.386031,-0.7812029,2.524596,-2.44769,-0.7812029,2.524596,-2.44769,-0.7215451,1.542689,-2.386031,-0.7215451,1.542689,-2.386031,-0.4258276,2.431253,-2.476396,-0.3063811,1.921214,-2.451105,-0.3416816,1.478383,-2.523535,-0.4010533,1.308137,-2.548764,-0.3416816,1.478383,-2.523535,-1.142956,2.417031,-2.470357,-1.184636,1.968555,-2.447613,-1.121124,1.576463,-2.600493,-1.066153,1.473427,-2.663989,-1.121124,1.576463,-2.600493,-0.5609047,1.563676,-2.456257,-0.3256139,0.9628648,-2.716222,-0.2491705,0.213585,-2.585718,-0.8861117,1.532259,-2.448167,-1.059864,0.8919307,-2.697956,-1.041782,0.1370128,-2.566,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,144.7485332,145.3905495,158.6212628,152.1561988,-0.5502433,-0.6268155,1.651738575
2,10182024023657420,-0.8441128,2.996079,-6.297438,-0.8360842,2.862268,-6.27903,-0.81146,2.449457,-6.24159,-0.7765794,1.882514,-6.212906,-0.8360842,2.862268,-6.27903,-0.8360842,2.862268,-6.27903,-0.7765794,1.882514,-6.212906,-0.7765794,1.882514,-6.212906,-0.4802349,2.772957,-6.30443,-0.3587327,2.262681,-6.278211,-0.3958642,1.818393,-6.350113,-0.4532633,1.659386,-6.377482,-0.3958642,1.818393,-6.350113,-1.196428,2.755423,-6.301675,-1.232176,2.308755,-6.280968,-1.169441,1.922684,-6.441154,-1.114792,1.811818,-6.496838,-1.169441,1.922684,-6.441154,-0.6145399,1.905912,-6.282631,-0.3792799,1.306733,-6.54112,-0.2984086,0.5639104,-6.410776,-0.9410553,1.871006,-6.275404,-1.112077,1.228395,-6.524899,-1.097426,0.4784938,-6.39309,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,144.8906635,145.6409963,158.2629204,151.6682547,-0.1999179,-0.2853345,1.648106644
3,10182024023657541,-0.843261,2.995907,-6.29813,-0.8353447,2.862086,-6.279642,-0.8110349,2.449316,-6.241863,-0.7763612,1.882478,-6.212838,-0.8353447,2.862086,-6.279642,-0.8353447,2.862086,-6.279642,-0.7763612,1.882478,-6.212838,-0.7763612,1.882478,-6.212838,-0.4798011,2.772897,-6.304496,-0.3585245,2.262636,-6.278199,-0.3956994,1.81845,-6.350034,-0.4531223,1.659971,-6.37746,-0.3956994,1.81845,-6.350034,-1.195982,2.755399,-6.302191,-1.231938,2.308879,-6.281509,-1.169795,1.923105,-6.44102,-1.115252,1.813753,-6.496272,-1.169795,1.923105,-6.44102,-0.6142303,1.905961,-6.282538,-0.379342,1.306807,-6.540881,-0.2988132,0.5642699,-6.410461,-0.9408273,1.870911,-6.275404,-1.111771,1.228205,-6.524882,-1.09742,0.4785651,-6.393017,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,144.8899936,145.6511466,158.2755294,151.7500262,-0.1995584,-0.2852632,1.647933364
4,10182024023657686,-0.8421522,2.995826,-6.298473,-0.8343658,2.86197,-6.280004,-0.8104012,2.449187,-6.242088,-0.7760329,1.882437,-6.212756,-0.8343658,2.86197,-6.280004,-0.8343658,2.86197,-6.280004,-0.7760329,1.882437,-6.212756,-0.7760329,1.882437,-6.212756,-0.4791014,2.772765,-6.30441,-0.3582726,2.262558,-6.278118,-0.3954458,1.81859,-6.349895,-0.4530205,1.660586,-6.377416,-0.3954458,1.81859,-6.349895,-1.195286,2.755538,-6.302713,-1.231706,2.309047,-6.282067,-1.169555,1.92412,-6.441265,-1.11523,1.817161,-6.496488,-1.169555,1.92412,-6.441265,-0.6137614,1.906005,-6.282395,-0.3795633,1.306741,-6.54055,-0.3002203,0.5651292,-6.407404,-0.9405087,1.870807,-6.275433,-1.111115,1.227938,-6.524961,-1.096513,0.4793519,-6.390435,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,144.6931968,145.4666505,158.3135277,151.7136658,-0.1986991,-0.2844764,1.647503092
5,10182024023657908,-0.8407007,2.995983,-6.298258,-0.8330377,2.862051,-6.279927,-0.8093603,2.449161,-6.242118,-0.7753062,1.882422,-6.212579,-0.8330377,2.862051,-6.279927,-0.8330377,2.862051,-6.279927,-0.7753062,1.882422,-6.212579,-0.7753062,1.882422,-6.212579,-0.4779596,2.772571,-6.303907,-0.3579766,2.26244,-6.277946,-0.3950018,1.818882,-6.349553,-0.4528723,1.661165,-6.377282,-0.3950018,1.818882,-6.349553,-1.194418,2.755865,-6.303124,-1.231532,2.309365,-6.282632,-1.148286,1.920139,-6.457566,-1.094618,1.808481,-6.513391,-1.148286,1.920139,-6.457566,-0.6127754,1.906066,-6.282001,-0.3808234,1.306032,-6.54039,-0.305759,0.565811,-6.400879,-0.9398693,1.870733,-6.275496,-1.108005,1.227482,-6.525927,-1.090235,0.4810725,-6.385277,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,144.1787727,144.9553849,158.4249103,148.9815113,-0.1980173,-0.2827558,1.646783922
6,10182024023658116,-0.8396741,2.996933,-6.296627,-0.8317982,2.862754,-6.278801,-0.8078347,2.44951,-6.241621,-0.7730778,1.882803,-6.211928,-0.8317982,2.862754,-6.278801,-0.8317982,2.862754,-6.278801,-0.7730778,1.882803,-6.211928,-0.7730778,1.882803,-6.211928,-0.4768154,2.772831,-6.301012,-0.3573996,2.26239,-6.276126,-0.3936064,1.818969,-6.348184,-0.4247006,1.701129,-6.35297,-0.3936064,1.818969,-6.348184,-1.193677,2.756292,-6.303389,-1.232118,2.309316,-6.283392,-1.110896,1.882774,-6.492003,-1.063923,1.772153,-6.546703,-1.110896,1.882774,-6.492003,-0.6099929,1.906931,-6.280567,-0.3842185,1.308185,-6.538651,-0.3133432,0.5689713,-6.396662,-0.9378838,1.8708,-6.275531,-1.095648,1.22979,-6.527723,-1.072887,0.4852742,-6.384995,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,143.9851684,144.7458047,158.6000933,145.7112275,-0.194857,-0.2785541,1.642146592
7,10182024023658298,-0.8429387,2.99945,-6.29143,-0.8334463,2.864623,-6.275378,-0.8073297,2.450081,-6.240984,-0.770952,1.883526,-6.211925,-0.8334463,2.864623,-6.275378,-0.8334463,2.864623,-6.275378,-0.770952,1.883526,-6.211925,-0.770952,1.883526,-6.211925,-0.4779206,2.774403,-6.296543,-0.3564165,2.263214,-6.272182,-0.3896874,1.817308,-6.345447,-0.4069374,1.687817,-6.353611,-0.3896874,1.817308,-6.345447,-1.193747,2.756583,-6.30319,-1.233599,2.308108,-6.283921,-1.102379,1.874776,-6.498559,-1.055961,1.760249,-6.551935,-1.102379,1.874776,-6.498559,-0.6078259,1.908259,-6.279802,-0.3857209,1.305919,-6.534298,-0.3073432,0.5689036,-6.392519,-0.9353758,1.871036,-6.276435,-1.08233,1.226756,-6.527137,-1.064018,0.4829143,-6.384741,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,144.6905259,145.4213865,158.7413832,145.00154,-0.1949247,-0.280914,1.641421178
8,10182024023658490,-0.8385442,3.009724,-6.27541,-0.8280646,2.873557,-6.262416,-0.7995395,2.45522,-6.235759,-0.7605543,1.886584,-6.212489,-0.8280646,2.873557,-6.262416,-0.8280646,2.873557,-6.262416,-0.7605543,1.886584,-6.212489,-0.7605543,1.886584,-6.212489,-0.471069,2.778747,-6.285656,-0.3432772,2.264368,-6.261103,-0.3622999,1.810831,-6.336995,-0.3742419,1.668001,-6.355638,-0.3622999,1.810831,-6.336995,-1.189077,2.759236,-6.297304,-1.22349,2.305911,-6.282495,-1.097785,1.908066,-6.479343,-1.050039,1.781122,-6.541434,-1.097785,1.908066,-6.479343,-0.5983367,1.912624,-6.278438,-0.3748164,1.306604,-6.52414,-0.2841774,0.5733501,-6.381591,-0.9242548,1.87249,-6.279445,-1.057427,1.222545,-6.526251,-1.048024,0.4792877,-6.383953,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,145.7043203,146.4943753,159.6789318,145.5822757,-0.1904782,-0.2845406,1.642107256
9,10182024023658700,-0.7749434,3.032133,-6.257184,-0.774408,2.89377,-6.245348,-0.7693849,2.468254,-6.224798,-0.7486463,1.890667,-6.210362,-0.774408,2.89377,-6.245348,-0.774408,2.89377,-6.245348,-0.7486463,1.890667,-6.210362,-0.7486463,1.890667,-6.210362,-0.4162971,2.781339,-6.264923,-0.3223812,2.261729,-6.250654,-0.3401945,1.807401,-6.325837,-0.3643468,1.66196,-6.350726,-0.3401945,1.807401,-6.325837,-1.146476,2.775763,-6.28871,-1.197634,2.324684,-6.279809,-1.093739,1.944282,-6.468838,-1.05255,1.811971,-6.540695,-1.093739,1.944282,-6.468838,-0.58672,1.915677,-6.274976,-0.3829618,1.336698,-6.574148,-0.2870219,0.6022202,-6.608107,-0.912338,1.878478,-6.27863,-1.061722,1.259157,-6.581764,-1.102956,0.5090088,-6.617262,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,153.9719801,155.1490022,163.4343137,145.9897817,-0.1616081,-0.2548195,1.635418242
10,10182024023658899,-0.7337687,3.04564,-6.250857,-0.7365246,2.907308,-6.238263,-0.7421359,2.481035,-6.216684,-0.7372406,1.898602,-6.204504,-0.7365246,2.907308,-6.238263,-0.7365246,2.907308,-6.238263,-0.7372406,1.898602,-6.204504,-0.7372406,1.898602,-6.204504,-0.3785275,2.781084,-6.253497,-0.3066273,2.257827,-6.241244,-0.3268141,1.80549,-6.309907,-0.3631836,1.652727,-6.328044,-0.3268141,1.80549,-6.309907,-1.10645,2.79703,-6.282642,-1.182521,2.350516,-6.27509,-1.078846,1.968405,-6.47406,-1.049172,1.839011,-6.546721,-1.078846,1.968405,-6.47406,-0.5753536,1.919411,-6.268375,-0.3635084,1.398299,-6.658749,-0.2900075,0.7075688,-6.816622,-0.9012418,1.892158,-6.273491,-1.085802,1.337897,-6.670088,-1.141615,0.6363531,-6.829991,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,0,1,153.6701649,155.1921208,165.6452666,143.4365384,-0.0562595,-0.1274752,1.605820416
