GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024121535999,-0.8368726,2.565893,-4.057021,-0.8324571,2.425531,-4.033846,-0.8178225,1.983647,-3.982602,-0.7964195,1.365135,-3.943621,-0.8324571,2.425531,-4.033846,-0.8324571,2.425531,-4.033846,-0.7964195,1.365135,-3.943621,-0.7964195,1.365135,-3.943621,-0.4507181,2.327466,-4.069096,-0.3069736,1.771584,-4.013522,-0.3179075,1.30386,-4.066643,-0.3427183,1.222441,-4.085477,-0.3179075,1.30386,-4.066643,-1.19567,2.302754,-4.092798,-1.296837,1.761073,-4.100612,-1.242084,1.292947,-4.155661,-1.213056,1.229352,-4.156907,-1.242084,1.292947,-4.155661,-0.6430966,1.38778,-4.008877,-0.4958486,0.7872372,-3.855367,-0.3110771,0.02476048,-3.587653,-0.9485524,1.373951,-4.016285,-1.058308,0.7617736,-3.869008,-1.20048,-0.01550448,-3.609222,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,175.0989782,175.1192296,160.1495304,161.8273103,-0.73906782,-0.77933278,1.639747342,0,0
2,12182024121559279,-0.8052046,2.619372,-3.850312,-0.8047968,2.477469,-3.827578,-0.8026409,2.032433,-3.775297,-0.7978546,1.410826,-3.729335,-0.8047968,2.477469,-3.827578,-0.8047968,2.477469,-3.827578,-0.7978546,1.410826,-3.729335,-0.7978546,1.410826,-3.729335,-0.4444159,2.363692,-3.881521,-0.3017679,1.795394,-3.851922,-0.3100885,1.326722,-3.897318,-0.3214813,1.228797,-3.925858,-0.3100885,1.326722,-3.897318,-1.180556,2.357293,-3.877914,-1.303401,1.812751,-3.831476,-1.238148,1.348013,-3.909026,-1.201863,1.257987,-3.917169,-1.238148,1.348013,-3.909026,-0.6469891,1.427446,-3.807305,-0.5662254,0.8123621,-3.656718,-0.460737,0.07484365,-3.307841,-0.9470378,1.419218,-3.79031,-1.015713,0.8000368,-3.63126,-1.077006,0.05794501,-3.272936,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,168.5346976,168.5249436,162.7180517,154.9857704,-0.68898465,-0.70588329,1.63167692,0,0
3,12182024121600638,-0.7877927,3.082433,-6.349517,-0.7695946,2.94072,-6.311601,-0.7105103,2.497995,-6.226278,-0.6072277,1.885673,-6.132002,-0.7695946,2.94072,-6.311601,-0.7695946,2.94072,-6.311601,-0.6072277,1.885673,-6.132002,-0.6072277,1.885673,-6.132002,-0.4278967,2.857443,-6.106651,-0.2034531,2.296678,-5.920465,-0.1755701,1.827065,-5.937343,-0.1744068,1.748527,-5.979352,-0.1755701,1.827065,-5.937343,-0.9992491,2.770311,-6.517693,-1.081544,2.221578,-6.566746,-0.9739139,1.765868,-6.608269,-0.958814,1.651358,-6.59545,-0.9739139,1.765868,-6.608269,-0.4923052,1.916657,-6.107633,-0.3262221,1.336632,-5.671845,-0.3465613,0.6641448,-5.240232,-0.7335503,1.875255,-6.291423,-0.9081881,1.236756,-6.11521,-1.070171,0.5399594,-5.791506,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,165.0477439,170.3340106,153.5788103,158.2681572,-0.0996835,-0.2238689,1.673878591,0,0
4,12182024121600766,-0.7837782,3.082026,-6.346551,-0.7663665,2.940556,-6.310241,-0.707721,2.497999,-6.225575,-0.6128672,1.882596,-6.131904,-0.7663665,2.940556,-6.310241,-0.7663665,2.940556,-6.310241,-0.6128672,1.882596,-6.131904,-0.6128672,1.882596,-6.131904,-0.4012206,2.847202,-6.141102,-0.190771,2.279011,-6.005985,-0.1710622,1.810956,-6.017692,-0.1732572,1.740228,-6.05964,-0.1710622,1.810956,-6.017692,-1.008659,2.777394,-6.491864,-1.129075,2.232353,-6.496527,-1.037632,1.772352,-6.567429,-1.020886,1.665381,-6.560011,-1.037632,1.772352,-6.567429,-0.4963227,1.909666,-6.121053,-0.2815144,1.3249,-5.726402,-0.2528338,0.6514359,-5.28245,-0.7511167,1.874273,-6.277676,-0.9070862,1.238003,-6.110945,-1.066836,0.5383642,-5.782821,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,165.0890791,169.6724725,157.3668311,155.0372524,-0.1123924,-0.2254641,1.666168948,0,0
5,12182024121600906,-0.7742398,3.080381,-6.336397,-0.7604473,2.939401,-6.304585,-0.7056121,2.497177,-6.223556,-0.6372327,1.875486,-6.134387,-0.7604473,2.939401,-6.304585,-0.7604473,2.939401,-6.304585,-0.6372327,1.875486,-6.134387,-0.6372327,1.875486,-6.134387,-0.373653,2.830168,-6.19795,-0.1845192,2.258886,-6.143487,-0.1777888,1.789801,-6.171317,-0.1858431,1.694844,-6.238179,-0.1777888,1.789801,-6.171317,-1.04008,2.794433,-6.413353,-1.187444,2.247705,-6.378371,-1.134591,1.783408,-6.457394,-1.113825,1.682575,-6.467886,-1.134591,1.783408,-6.457394,-0.5138108,1.897786,-6.149837,-0.2785155,1.301155,-5.858924,-0.1867616,0.6149503,-5.434938,-0.7887606,1.872354,-6.25506,-0.9137157,1.242401,-6.102015,-1.061059,0.5340809,-5.769532,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,165.8357644,168.7110989,160.5359473,154.8052495,-0.148878,-0.2297474,1.650166907,0,0
6,12182024121601129,-0.7572041,3.07881,-6.319415,-0.7500089,2.937779,-6.293025,-0.7074953,2.494848,-6.218716,-0.6820116,1.867532,-6.139444,-0.7500089,2.937779,-6.293025,-0.7500089,2.937779,-6.293025,-0.6820116,1.867532,-6.139444,-0.6820116,1.867532,-6.139444,-0.356435,2.814193,-6.276249,-0.1997628,2.24018,-6.286809,-0.2195936,1.771643,-6.358716,-0.2445968,1.660713,-6.431948,-0.2195936,1.771643,-6.358716,-1.077605,2.807046,-6.321258,-1.236863,2.253504,-6.242118,-1.229343,1.783738,-6.301523,-1.224643,1.697816,-6.31338,-1.229343,1.783738,-6.301523,-0.5488822,1.884883,-6.194955,-0.3828703,1.269475,-6.019275,-0.2545674,0.5585998,-5.670582,-0.8391178,1.871609,-6.224228,-0.9345719,1.244243,-6.074919,-1.053763,0.5220481,-5.751187,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,168.6882231,169.3594363,160.7777842,157.3695659,-0.2052285,-0.2417802,1.63084378,0,0
7,12182024121601332,-0.751865,3.078232,-6.314037,-0.7467082,2.937097,-6.288835,-0.7139453,2.492727,-6.216006,-0.7123175,1.86398,-6.144545,-0.7467082,2.937097,-6.288835,-0.7467082,2.937097,-6.288835,-0.7123175,1.86398,-6.144545,-0.7123175,1.86398,-6.144545,-0.3529828,2.810287,-6.298234,-0.2184546,2.235468,-6.344811,-0.2540707,1.769132,-6.433174,-0.2875674,1.672903,-6.492537,-0.2540707,1.769132,-6.433174,-1.090105,2.809433,-6.292257,-1.251865,2.255648,-6.189589,-1.257538,1.784177,-6.233859,-1.253647,1.712218,-6.231175,-1.257538,1.784177,-6.233859,-0.5732403,1.879103,-6.219936,-0.4743635,1.255253,-6.076068,-0.353562,0.532794,-5.7637,-0.8669434,1.871685,-6.211049,-0.9467737,1.243321,-6.061773,-1.051066,0.5151774,-5.742594,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,169.7252724,169.7675219,161.5558125,158.0888117,-0.2310343,-0.2486509,1.621102753,0,0
8,12182024121601504,-0.7473094,3.077631,-6.30855,-0.7451264,2.936207,-6.284032,-0.7356604,2.489115,-6.214006,-0.7557006,1.860496,-6.15278,-0.7451264,2.936207,-6.284032,-0.7451264,2.936207,-6.284032,-0.7557006,1.860496,-6.15278,-0.7557006,1.860496,-6.15278,-0.3717771,2.807471,-6.343796,-0.2449728,2.23295,-6.394816,-0.2935052,1.768233,-6.485082,-0.3342114,1.683016,-6.510848,-0.2935052,1.768233,-6.485082,-1.112462,2.809551,-6.25808,-1.269619,2.258342,-6.143429,-1.283012,1.78512,-6.184242,-1.270925,1.727039,-6.193216,-1.283012,1.78512,-6.184242,-0.6079267,1.873384,-6.246451,-0.5810632,1.247177,-6.110502,-0.4744299,0.5102715,-5.821274,-0.9064449,1.872145,-6.199841,-0.9657099,1.24558,-6.050443,-1.049008,0.507887,-5.73156,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,169.4473639,170.0593159,160.8230094,158.4140042,-0.2535568,-0.2559413,1.615574597,0,0
9,12182024121601766,-0.7528703,3.077246,-6.304102,-0.7536064,2.93529,-6.279741,-0.7572817,2.48683,-6.214059,-0.7787012,1.858551,-6.157317,-0.7536064,2.93529,-6.279741,-0.7536064,2.93529,-6.279741,-0.7787012,1.858551,-6.157317,-0.7787012,1.858551,-6.157317,-0.3916101,2.808867,-6.362942,-0.2719073,2.236364,-6.38532,-0.312109,1.77075,-6.443705,-0.3363627,1.690529,-6.453085,-0.312109,1.77075,-6.443705,-1.137192,2.805219,-6.248321,-1.291558,2.255027,-6.171329,-1.276375,1.785246,-6.249467,-1.255132,1.705383,-6.298481,-1.276375,1.785246,-6.249467,-0.6272001,1.870596,-6.258916,-0.6122166,1.245899,-6.121396,-0.4988449,0.5013977,-5.836576,-0.9293723,1.87175,-6.196656,-0.9794436,1.247301,-6.045732,-1.048066,0.5034952,-5.723416,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,169.1549565,170.1836533,162.6033664,155.5554945,-0.2624306,-0.2603331,1.627786129,0,0
10,12182024121601934,-0.7640008,3.077859,-6.301145,-0.7643007,2.935468,-6.277034,-0.7676893,2.486321,-6.214145,-0.7871857,1.857777,-6.158991,-0.7643007,2.935468,-6.277034,-0.7643007,2.935468,-6.277034,-0.7871857,1.857777,-6.158991,-0.7871857,1.857777,-6.158991,-0.4065695,2.811734,-6.360672,-0.2845256,2.241116,-6.3501,-0.3135071,1.774089,-6.399912,-0.3329228,1.695365,-6.409995,-0.3135071,1.774089,-6.399912,-1.153792,2.800896,-6.256043,-1.301257,2.256551,-6.208488,-1.267982,1.78993,-6.297715,-1.240523,1.702468,-6.339269,-1.267982,1.78993,-6.297715,-0.634795,1.869847,-6.263111,-0.6170444,1.246934,-6.124968,-0.5009148,0.4992843,-5.836648,-0.9386433,1.871328,-6.198229,-0.9867781,1.248735,-6.046017,-1.047801,0.5019486,-5.719869,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,169.1685894,170.1732912,162.8559666,155.2884206,-0.264544,-0.2618797,1.632940244,0,0
