GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024015026927,-0.8854717,2.7991,-3.256317,-0.8793373,2.657287,-3.20544,-0.8601883,2.215957,-3.070937,-0.8339031,1.606062,-2.914113,-0.8793373,2.657287,-3.20544,-0.8793373,2.657287,-3.20544,-0.8339031,1.606062,-2.914113,-0.8339031,1.606062,-2.914113,-0.5668762,2.623771,-3.165209,-0.4624808,2.053698,-3.126801,-0.5361506,1.597314,-3.247252,-0.5700512,1.497898,-3.284909,-0.5361506,1.597314,-3.247252,-1.222172,2.575499,-3.26716,-1.249132,2.024521,-3.252466,-1.054478,2.621502,-3.3934,-0.9953616,2.833486,-3.440758,-1.054478,2.621502,-3.3934,-0.6817666,1.625816,-2.965111,-0.1893634,1.265866,-3.396235,-0.01382637,0.4918762,-3.094912,-0.98373,1.599787,-3.007576,-1.258327,1.17372,-3.546563,-1.388053,0.3734165,-3.28817,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,111.7657993,112.1456538,153.2848806,18.76800256,-0.2719521,-0.3904118,1.767523844,0,0
2,12182024015028681,-0.8227346,3.066716,-6.800347,-0.8186882,2.932086,-6.727054,-0.8036789,2.510019,-6.52986,-0.778122,1.918342,-6.311235,-0.8186882,2.932086,-6.727054,-0.8186882,2.932086,-6.727054,-0.778122,1.918342,-6.311235,-0.778122,1.918342,-6.311235,-0.5071784,2.913019,-6.701133,-0.3991756,2.352755,-6.594936,-0.4988809,1.897289,-6.69463,-0.5303614,1.788679,-6.719677,-0.4988809,1.897289,-6.69463,-1.162178,2.860092,-6.76283,-1.197909,2.321599,-6.716768,-0.9867523,2.912125,-6.866193,-0.9255485,3.07917,-6.922396,-0.9867523,2.912125,-6.866193,-0.6243184,1.937239,-6.367676,-0.1819751,1.551733,-6.833445,0.02545869,0.7524534,-6.601585,-0.9297113,1.913407,-6.400085,-1.187255,1.473284,-6.940128,-1.306626,0.6485006,-6.742951,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,117.0184568,116.8473918,147.6712867,17.83006014,-0.0113749,-0.1153277,1.774917561,0,0
3,12182024015029658,-0.7426814,2.913061,-7.430745,-0.7369974,2.795252,-7.348837,-0.7201141,2.426265,-7.128609,-0.7024007,1.89942,-6.881316,-0.7369974,2.795252,-7.348837,-0.7369974,2.795252,-7.348837,-0.7024007,1.89942,-6.881316,-0.7024007,1.89942,-6.881316,-0.4242905,2.759377,-7.364254,-0.3215207,2.272924,-7.26335,-0.4291668,1.815245,-7.339607,-0.5135336,1.70233,-7.427714,-0.4291668,1.815245,-7.339607,-1.087247,2.72607,-7.371914,-1.119977,2.263054,-7.292009,-0.9585897,1.740313,-7.277369,-0.8999185,1.623488,-7.243016,-0.9585897,1.740313,-7.277369,-0.514164,1.910364,-6.937553,-0.2372583,1.234823,-6.931212,-0.09885365,0.5315261,-6.481328,-0.8915507,1.906061,-6.969418,-1.07399,1.225284,-7.001861,-1.178242,0.5192205,-6.572465,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,146.6756092,145.7496267,147.5354406,157.3708769,-0.2323022,-0.2446078,1.773153582,0,0
4,12182024015030669,-0.700791,2.774218,-7.481061,-0.6960517,2.638605,-7.419054,-0.6804127,2.212783,-7.254172,-0.6599036,1.622725,-7.05796,-0.6960517,2.638605,-7.419054,-0.6960517,2.638605,-7.419054,-0.6599036,1.622725,-7.05796,-0.6599036,1.622725,-7.05796,-0.3671716,2.604384,-7.39714,-0.2289332,2.14178,-7.34163,-0.3919949,1.985462,-7.803294,-0.415041,1.99584,-7.888482,-0.3919949,1.985462,-7.803294,-1.034693,2.561216,-7.4425,-1.07241,2.072035,-7.411061,-0.8703482,1.614612,-7.337796,-0.830959,1.485777,-7.332546,-0.8703482,1.614612,-7.337796,-0.4852525,1.648116,-7.115008,-0.3092631,1.310853,-7.20935,-0.05464488,0.5081378,-6.639892,-0.8379133,1.630832,-7.142734,-0.9449414,1.279699,-7.259325,-1.184825,0.4527488,-6.728744,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,131.0777566,130.7319805,95.54704843,151.5386087,-0.2556905,-0.3110795,1.594015454,0,0
5,12182024015031674,-0.8173925,3.035928,-6.758872,-0.8123854,2.90276,-6.692228,-0.7975207,2.488888,-6.511576,-0.7764071,1.923437,-6.29353,-0.8123854,2.90276,-6.692228,-0.8123854,2.90276,-6.692228,-0.7764071,1.923437,-6.29353,-0.7764071,1.923437,-6.29353,-0.4858623,2.892774,-6.68169,-0.328613,2.448944,-6.629258,-0.4649273,2.417027,-7.091762,-0.4520133,2.430233,-7.142625,-0.4649273,2.417027,-7.091762,-1.145855,2.836923,-6.722868,-1.193256,2.357404,-6.680682,-0.9691353,1.911413,-6.585176,-0.8882451,1.817854,-6.561332,-0.9691353,1.911413,-6.585176,-0.6064562,1.957827,-6.347859,-0.1566598,1.265579,-6.583323,-0.1543144,0.973328,-5.938894,-0.9493214,1.926673,-6.379835,-1.222161,1.168765,-6.68269,-1.306661,0.8686231,-6.04636,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,94.87522081,95.44059373,82.08663408,147.4786051,0.2094997,0.1047948,1.762476161,0,0
6,12182024015032648,-0.8073348,3.395958,-6.790045,-0.8132376,3.285491,-6.700019,-0.831519,2.940068,-6.445192,-0.857053,2.463408,-6.123874,-0.8132376,3.285491,-6.700019,-0.8132376,3.285491,-6.700019,-0.857053,2.463408,-6.123874,-0.857053,2.463408,-6.123874,-0.4975143,3.275477,-6.723933,-0.3448607,2.84181,-6.60392,-0.6186011,2.770043,-7.00617,-0.6271608,2.755574,-6.993825,-0.6186011,2.770043,-7.00617,-1.166182,3.237328,-6.761663,-1.254879,2.792007,-6.613429,-1.113313,2.366701,-6.482441,-1.027938,2.28191,-6.498363,-1.113313,2.366701,-6.482441,-0.684208,2.459673,-6.181632,-0.5839852,1.805006,-6.071439,-0.513029,0.9638153,-5.81533,-1.028856,2.475115,-6.211031,-1.148321,1.830291,-6.119578,-1.269319,0.9977015,-5.879843,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,1,171.6645946,171.7420161,75.39163907,151.6231992,0.199987,0.2338732,1.735849243,1,0
7,12182024015033645,-1.050992,3.53085,-5.825808,-1.039918,3.383651,-5.790964,-1.004477,2.929309,-5.69941,-0.9565327,2.309574,-5.588067,-1.039918,3.383651,-5.790964,-1.039918,3.383651,-5.790964,-0.9565327,2.309574,-5.588067,-0.9565327,2.309574,-5.588067,-0.7109405,3.350111,-5.778073,-0.5418544,2.853725,-5.741174,-0.6995714,2.49637,-6.044985,-0.7398043,2.400641,-6.07515,-0.6995714,2.49637,-6.044985,-1.370736,3.26371,-5.833523,-1.381778,2.763467,-5.860659,-1.13752,2.354739,-5.999798,-1.063535,2.276473,-6.005693,-1.13752,2.354739,-5.999798,-0.8049213,2.332492,-5.647893,-0.3981752,2.027849,-6.26053,-0.2431526,1.215547,-6.076123,-1.103416,2.299795,-5.672701,-1.330805,1.925689,-6.338042,-1.363508,1.092824,-6.169238,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,107.0324102,107.7687342,122.4309134,145.7785926,0.4517187,0.3289957,1.816686364,1,0
8,12182024015034658,-1.020025,3.488748,-5.773942,-1.012069,3.346978,-5.745093,-0.9864329,2.905455,-5.67619,-0.9486173,2.291518,-5.606636,-1.012069,3.346978,-5.745093,-1.012069,3.346978,-5.745093,-0.9486173,2.291518,-5.606636,-0.9486173,2.291518,-5.606636,-0.6864811,3.310689,-5.725217,-0.5392515,2.767864,-5.672302,-0.6501249,2.364452,-5.937613,-0.6997274,2.271935,-6.018883,-0.6501249,2.364452,-5.937613,-1.351346,3.243282,-5.803706,-1.360912,2.744687,-5.842324,-1.081893,2.391854,-6.029379,-1.027842,2.309043,-6.045287,-1.081893,2.391854,-6.029379,-0.7922231,2.312896,-5.655843,-0.4950463,2.03124,-6.348382,-0.216791,1.557052,-7.06454,-1.100206,2.284052,-5.702656,-1.114306,1.973244,-6.442508,-1.089971,1.475275,-7.19726,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,1,0,168.6695926,169.0708372,132.3741546,137.7868624,0.7932237,0.7114467,1.886757974,0,0
9,12182024015035640,-1.025874,3.46509,-5.8122,-1.015511,3.32514,-5.779823,-0.9846165,2.889884,-5.701646,-0.9432814,2.285218,-5.623428,-1.015511,3.32514,-5.779823,-1.015511,3.32514,-5.779823,-0.9432814,2.285218,-5.623428,-0.9432814,2.285218,-5.623428,-0.6949731,3.306947,-5.753139,-0.5362663,2.77387,-5.68701,-0.6358795,2.379261,-5.950973,-0.6766605,2.283054,-6.040163,-0.6358795,2.379261,-5.950973,-1.351569,3.231565,-5.838342,-1.358828,2.735759,-5.871512,-1.077682,2.380588,-6.043834,-1.040716,2.354006,-6.039211,-1.077682,2.380588,-6.043834,-0.7851903,2.308702,-5.667429,-0.4579757,2.010469,-6.275835,-0.345725,1.238165,-6.147042,-1.096929,2.27563,-5.724939,-1.106401,1.941679,-6.395458,-1.118332,1.156201,-6.289574,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,1,0,108.4847793,108.8059772,130.6751962,138.278465,0.4743367,0.3923727,1.726212733,0,0
10,12182024015036645,-1.041408,3.459354,-5.805315,-1.026069,3.318748,-5.777286,-0.983893,2.883689,-5.707265,-0.919891,2.279426,-5.635976,-1.026069,3.318748,-5.777286,-1.026069,3.318748,-5.777286,-0.919891,2.279426,-5.635976,-0.919891,2.279426,-5.635976,-0.7052121,3.303861,-5.743155,-0.5365297,2.77704,-5.700756,-0.6340786,2.38321,-5.963706,-0.6641865,2.2816,-6.052214,-0.6340786,2.38321,-5.963706,-1.359439,3.220333,-5.836581,-1.369196,2.727347,-5.876265,-1.127598,2.351297,-6.044998,-1.050196,2.34145,-6.049442,-1.127598,2.351297,-6.044998,-0.762903,2.307529,-5.680538,-0.3819975,2.046132,-6.291943,-0.07375312,1.251969,-6.544886,-1.073073,2.265474,-5.736653,-1.122811,1.945686,-6.425969,-1.121454,1.109913,-6.734434,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,134.7778823,135.0145667,132.1123723,143.396352,0.4881407,0.3460847,1.836224078,1,0
