GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,Spatial_1,Temporal_1,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach
1,12182024012548653,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
2,12182024012549523,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
3,12182024012549580,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
4,12182024012549776,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
5,12182024012549980,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
6,12182024012550180,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
7,12182024012550380,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
8,12182024012550579,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
9,12182024012550778,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
10,12182024012550979,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,0.403,-1.064038,6.78,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,,,,,-1.8278663,-1.8278663,0
