GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach,Spatial_1,Temporal_1
1,12182024122749377,-0.6609462,2.8182,-2.715493,-0.6633884,2.678075,-2.680441,-0.6698771,2.244673,-2.593074,-0.6753972,1.649704,-2.496807,-0.6633884,2.678075,-2.680441,-0.6633884,2.678075,-2.680441,-0.6753972,1.649704,-2.496807,-0.6753972,1.649704,-2.496807,-0.3125198,2.584244,-2.674701,-0.1097755,2.149537,-2.566833,-0.1767097,1.673636,-2.632308,-0.2000864,1.534116,-2.63432,-0.1767097,1.673636,-2.632308,-0.985907,2.583716,-2.736883,-1.167648,2.063023,-2.717189,-1.132646,1.657975,-2.7556,-1.088492,1.547794,-2.76025,-1.132646,1.657975,-2.7556,-0.5280459,1.648335,-2.559208,-0.9072015,0.7481756,-2.289538,-0.9434812,-0.001749873,-2.23274,-0.8265501,1.659417,-2.573618,-0.4665034,0.7318138,-2.268265,-0.4387729,-0.02048838,-2.208377,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,157.3518962,157.4843269,141.3555277,154.7271553,-0.765578173,-0.78431668,1.965846666,0,0
2,12182024122750947,-0.863349,3.097393,-6.168847,-0.8603095,2.954501,-6.156201,-0.8495036,2.511288,-6.139653,-0.8261028,1.897507,-6.141012,-0.8603095,2.954501,-6.156201,-0.8603095,2.954501,-6.156201,-0.8261028,1.897507,-6.141012,-0.8261028,1.897507,-6.141012,-0.5038351,2.849095,-6.185629,-0.2748287,2.356646,-6.106143,-0.293063,1.898544,-6.188143,-0.3167359,1.750392,-6.217432,-0.293063,1.898544,-6.188143,-1.194453,2.820591,-6.214296,-1.322332,2.293615,-6.234105,-1.289557,1.874697,-6.302782,-1.289272,1.744769,-6.30548,-1.289557,1.874697,-6.302782,-0.6758759,1.905124,-6.206577,-0.6090375,1.104392,-5.931345,-0.5053579,0.4457086,-5.593611,-0.9767267,1.894863,-6.210606,-0.987799,1.091475,-5.936417,-1.0501,0.4271305,-5.600906,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,171.1671386,171.0925803,147.2083,160.6063444,-0.3181197,-0.3366978,1.761768097,0,0
3,12182024122751960,-0.9841042,3.039383,-6.383348,-0.9752651,2.898557,-6.35887,-0.9470181,2.462445,-6.3025,-0.9070264,1.860877,-6.248607,-0.9752651,2.898557,-6.35887,-0.9752651,2.898557,-6.35887,-0.9070264,1.860877,-6.248607,-0.9070264,1.860877,-6.248607,-0.598972,2.810881,-6.388959,-0.4304848,2.280258,-6.347666,-0.3982709,1.81209,-6.411201,-0.4040454,1.702795,-6.463907,-0.3982709,1.81209,-6.411201,-1.32926,2.751758,-6.367442,-1.433816,2.214847,-6.350346,-1.417284,1.790535,-6.416222,-1.386842,1.665953,-6.450834,-1.417284,1.790535,-6.416222,-0.7571593,1.870131,-6.323166,-0.6725793,1.071718,-6.084647,-0.5744206,0.4046347,-5.668988,-1.056199,1.860404,-6.313242,-1.028675,1.060136,-6.072829,-1.012248,0.3903939,-5.654459,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,1,164.7465503,164.7189965,161.8577522,163.060194,-0.3591936,-0.3734344,1.797296628,0,0
4,12182024122752966,-0.8404063,3.022559,-6.631004,-0.8374982,2.877605,-6.60352,-0.8290598,2.427865,-6.538254,-0.8186443,1.80692,-6.472618,-0.8374982,2.877605,-6.60352,-0.8374982,2.877605,-6.60352,-0.8186443,1.80692,-6.472618,-0.8186443,1.80692,-6.472618,-0.4706426,2.769993,-6.633929,-0.34607,2.228728,-6.595328,-0.347106,1.798823,-6.675941,-0.3587241,1.684632,-6.736403,-0.347106,1.798823,-6.675941,-1.198046,2.740129,-6.649123,-1.333679,2.204454,-6.636284,-1.322018,1.761021,-6.685688,-1.312369,1.630539,-6.707373,-1.322018,1.761021,-6.685688,-0.675053,1.819001,-6.542311,-0.5101502,0.9933529,-6.329196,-0.4547097,0.3605577,-6.048946,-0.9641125,1.806173,-6.542711,-1.09988,0.9671809,-6.330013,-1.135837,0.3303295,-6.049891,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,168.7116328,168.8200079,160.4267181,162.530345,-0.4032706,-0.4334988,1.73425742,0,1
5,12182024122753961,-0.8676181,2.342362,-6.771888,-0.8665321,2.21609,-6.698185,-0.8630163,1.82534,-6.49623,-0.8573862,1.28923,-6.241669,-0.8665321,2.21609,-6.698185,-0.8665321,2.21609,-6.698185,-0.8573862,1.28923,-6.241669,-0.8573862,1.28923,-6.241669,-0.5316525,2.157564,-6.738581,-0.4094244,1.63457,-6.65148,-0.5032164,1.120468,-6.781371,-0.5432818,1.005877,-6.810944,-0.5032164,1.120468,-6.781371,-1.205875,2.136757,-6.741839,-1.309507,1.646262,-6.689721,-1.20604,1.172092,-6.762385,-1.155567,1.036808,-6.775143,-1.20604,1.172092,-6.762385,-0.7160163,1.308756,-6.30665,-0.2245674,0.8453536,-6.973173,-0.31519,0.09821188,-6.355761,-0.9996337,1.300002,-6.313146,-1.429208,0.8081751,-7.000761,-1.337094,0.06667304,-6.379164,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,83.17189277,83.62758271,147.1329428,151.8410088,-0.66561642,-0.69715526,2.079796913,0,1
6,12182024122754995,-0.8420375,3.059223,-6.68059,-0.8395235,2.909209,-6.650037,-0.8312507,2.446782,-6.56796,-0.8156117,1.822571,-6.472935,-0.8395235,2.909209,-6.650037,-0.8395235,2.909209,-6.650037,-0.8156117,1.822571,-6.472935,-0.8156117,1.822571,-6.472935,-0.4700105,2.784672,-6.674451,-0.362101,2.240121,-6.627162,-0.3780055,1.84267,-6.709802,-0.3875543,1.732371,-6.775169,-0.3780055,1.84267,-6.709802,-1.184477,2.759583,-6.718688,-1.315958,2.227306,-6.713492,-1.287434,1.802913,-6.759369,-1.252719,1.672272,-6.768094,-1.287434,1.802913,-6.759369,-0.6726502,1.83018,-6.542692,-0.4951119,0.9506834,-6.295097,-0.4674316,0.3575025,-5.998001,-0.961333,1.826057,-6.542945,-1.092144,0.9421572,-6.295622,-1.089785,0.3486145,-5.998548,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,166.1928318,166.2744442,158.6444787,161.0852448,-0.4063258,-0.4152138,1.754026617,0,1
7,12182024122755937,-0.9730802,3.036778,-6.083454,-0.9576211,2.901917,-6.052549,-0.9114781,2.484284,-5.97437,-0.8524435,1.907124,-5.881991,-0.9576211,2.901917,-6.052549,-0.9576211,2.901917,-6.052549,-0.8524435,1.907124,-5.881991,-0.8524435,1.907124,-5.881991,-0.5962698,2.85171,-5.987624,-0.4522332,2.365305,-5.870488,-0.463366,2.015666,-6.109379,-0.4646111,1.94407,-6.216397,-0.463366,2.015666,-6.109379,-1.313688,2.779013,-6.15019,-1.469772,2.311454,-5.932214,-1.414215,1.9153,-5.750998,-1.386344,1.792821,-5.70726,-1.414215,1.9153,-5.750998,-0.7119446,1.925919,-5.916403,-0.3525161,1.083511,-5.935763,-0.3865683,0.4564418,-5.588628,-0.9936659,1.895237,-5.986496,-1.040678,1.008562,-6.106982,-1.00437,0.3891562,-5.742341,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,140.7845209,141.3409319,129.5667653,155.8948899,-0.3073865,-0.3746721,1.7918279,0,1
8,12182024122756952,-0.903747,2.996079,-6.228148,-0.8888145,2.860169,-6.215625,-0.8427091,2.44136,-6.194391,-0.777698,1.862774,-6.186995,-0.8888145,2.860169,-6.215625,-0.8888145,2.860169,-6.215625,-0.777698,1.862774,-6.186995,-0.777698,1.862774,-6.186995,-0.5205938,2.808139,-6.276915,-0.3346687,2.365416,-6.39697,-0.4312215,2.171681,-6.77022,-0.4857303,2.135191,-6.913522,-0.4312215,2.171681,-6.77022,-1.21714,2.723743,-6.288343,-1.346946,2.196973,-6.294201,-1.331948,1.793636,-6.405537,-1.328053,1.682685,-6.467084,-1.331948,1.793636,-6.405537,-0.624233,1.883289,-6.269738,-0.6293526,1.612579,-7.239888,-0.5270938,0.7796702,-6.706566,-0.9356995,1.850718,-6.244643,-1.032982,1.57037,-7.207368,-0.8648843,0.7443464,-6.67935,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,1,0,1,73.02125693,72.99148501,121.828922,158.3721296,0.0158419,-0.0194819,2.177074124,0,1
9,12182024122757931,-1.010845,2.973807,-6.154118,-0.9899547,2.841168,-6.15131,-0.9271765,2.431736,-6.158483,-0.8457289,1.865759,-6.179684,-0.9899547,2.841168,-6.15131,-0.9899547,2.841168,-6.15131,-0.8457289,1.865759,-6.179684,-0.8457289,1.865759,-6.179684,-0.6346463,2.78185,-6.182869,-0.4319331,2.32441,-6.233938,-0.5824275,2.036801,-6.573093,-0.6345489,1.965488,-6.646098,-0.5824275,2.036801,-6.573093,-1.340873,2.709945,-6.213396,-1.441716,2.197794,-6.265604,-1.435729,1.804997,-6.415205,-1.436494,1.787277,-6.437953,-1.435729,1.804997,-6.415205,-0.7042242,1.887866,-6.249352,-0.2879245,1.638422,-7.081568,-0.3496149,0.8651142,-6.698526,-0.9983896,1.852296,-6.241052,-1.367352,1.5079,-7.051114,-1.067117,0.7783549,-6.678283,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,79.52340325,78.81551087,120.0899358,160.8996023,0.1012859,0.0145266,1.992087457,1,1
10,12182024122758931,-0.9176065,2.944422,-6.120974,-0.9131698,2.815814,-6.120725,-0.894169,2.418405,-6.13767,-0.8737114,1.868658,-6.195581,-0.9131698,2.815814,-6.120725,-0.9131698,2.815814,-6.120725,-0.8737114,1.868658,-6.195581,-0.8737114,1.868658,-6.195581,-0.5200267,2.767146,-6.127129,-0.3765177,2.306664,-6.150432,-0.6476178,2.084277,-6.571072,-0.6521405,2.008276,-6.621599,-0.6476178,2.084277,-6.571072,-1.237506,2.696835,-6.176992,-1.400699,2.199611,-6.235193,-1.46202,1.809993,-6.367702,-1.468347,1.725229,-6.423241,-1.46202,1.809993,-6.367702,-0.7252546,1.881627,-6.277952,-0.6919854,1.635416,-7.193878,-0.7207718,1.195818,-7.956102,-1.024006,1.861091,-6.258527,-1.166061,1.602828,-7.163053,-1.201199,1.162793,-7.924863,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,1,1,1,164.5787565,164.6427984,106.0929932,164.8265795,0.4319897,0.3989647,1.999671631,1,1
