GlobalID,EntryID,Skeleton0_X,Skeleton0_Y,Skeleton0_Z,Skeleton1_X,Skeleton1_Y,Skeleton1_Z,Skeleton2_X,Skeleton2_Y,Skeleton2_Z,Skeleton3_X,Skeleton3_Y,Skeleton3_Z,Skeleton4_X,Skeleton4_Y,Skeleton4_Z,Skeleton5_X,Skeleton5_Y,Skeleton5_Z,Skeleton6_X,Skeleton6_Y,Skeleton6_Z,Skeleton7_X,Skeleton7_Y,Skeleton7_Z,Skeleton8_X,Skeleton8_Y,Skeleton8_Z,Skeleton9_X,Skeleton9_Y,Skeleton9_Z,Skeleton10_X,Skeleton10_Y,Skeleton10_Z,Skeleton11_X,Skeleton11_Y,Skeleton11_Z,Skeleton12_X,Skeleton12_Y,Skeleton12_Z,Skeleton13_X,Skeleton13_Y,Skeleton13_Z,Skeleton14_X,Skeleton14_Y,Skeleton14_Z,Skeleton15_X,Skeleton15_Y,Skeleton15_Z,Skeleton16_X,Skeleton16_Y,Skeleton16_Z,Skeleton17_X,Skeleton17_Y,Skeleton17_Z,Skeleton18_X,Skeleton18_Y,Skeleton18_Z,Skeleton19_X,Skeleton19_Y,Skeleton19_Z,Skeleton20_X,Skeleton20_Y,Skeleton20_Z,Skeleton21_X,Skeleton21_Y,Skeleton21_Z,Skeleton22_X,Skeleton22_Y,Skeleton22_Z,Skeleton23_X,Skeleton23_Y,Skeleton23_Z,BubbleGen1_X,BubbleGen1_Y,BubbleGen1_Z,BubbleGen2_X,BubbleGen2_Y,BubbleGen2_Z,BubbleGen3_X,BubbleGen3_Y,BubbleGen3_Z,BubbleGen6_X,BubbleGen6_Y,BubbleGen6_Z,BubbleGen7_X,BubbleGen7_Y,BubbleGen7_Z,BubbleGen8_X,BubbleGen8_Y,BubbleGen8_Z,Floor_X,Floor_Y,Floor_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2,RightKneeAngle,LeftKneeAngle,RightElbowAngle,LeftElbowAngle,RightFootDistanceFromFloor,LeftFootDistanceFromFloor,Total_reach
1,10182024022245930,-0.852262,2.709436,-2.320666,-0.8519487,2.571602,-2.26621,-0.8498192,2.143998,-2.129283,-0.8435853,1.562287,-1.970225,-0.8519487,2.571602,-2.26621,-0.8519487,2.571602,-2.26621,-0.8435853,1.562287,-1.970225,-0.8435853,1.562287,-1.970225,-0.53403,2.540793,-2.216144,-0.4479598,2.129633,-2.046824,-0.5921832,1.894301,-2.553073,-0.6967261,1.942767,-2.596722,-0.5921832,1.894301,-2.553073,-1.14368,2.483934,-2.280474,-1.245159,1.986615,-2.14232,-1.313481,1.563155,-2.023901,-1.305102,1.519073,-1.986471,-1.313481,1.563155,-2.023901,-0.7120419,1.568624,-2.021462,-0.5803947,0.7108102,-1.908044,-0.5954131,0.1157373,-1.763364,-0.9726927,1.564148,-2.060892,-1.029845,0.7030923,-1.976034,-0.9979858,0.1088246,-1.824262,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,168.2319432,168.9923865,89.69891633,177.7071324,-0.648091,-0.6550037,1.63905596
2,10182024022247832,-0.7777297,2.879987,-5.773612,-0.7718189,2.745161,-5.747838,-0.7535186,2.332572,-5.679556,-0.7339237,1.77066,-5.579749,-0.7718189,2.745161,-5.747838,-0.7718189,2.745161,-5.747838,-0.7339237,1.77066,-5.579749,-0.7339237,1.77066,-5.579749,-0.4670243,2.698341,-5.696643,-0.3817514,2.193086,-5.682961,-0.6041629,2.173516,-6.094748,-0.6650118,2.266247,-6.21874,-0.6041629,2.173516,-6.094748,-1.090983,2.669016,-5.754429,-1.238461,2.21104,-5.604464,-1.224696,1.781045,-5.746758,-1.237591,1.691561,-5.775369,-1.224696,1.781045,-5.746758,-0.5834602,1.781806,-5.622455,-0.1957934,1.283666,-6.207461,-0.1247682,0.6317725,-6.094532,-0.8834741,1.76738,-5.678112,-0.9498404,1.247408,-6.347348,-0.9709449,0.5910851,-6.25151,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,1,0,119.985589,119.5861922,86.48712304,139.4644543,-0.1320558,-0.1727432,1.692737376
3,10182024022248866,-0.8203045,2.913492,-5.998213,-0.8151143,2.776499,-5.999244,-0.7982187,2.356579,-6.019842,-0.7800376,1.779288,-6.066302,-0.8151143,2.776499,-5.999244,-0.8151143,2.776499,-5.999244,-0.7800376,1.779288,-6.066302,-0.7800376,1.779288,-6.066302,-0.4981485,2.726557,-5.920722,-0.3480559,2.254153,-5.931919,-0.6052411,2.304656,-6.394029,-0.7041326,2.303933,-6.503321,-0.6052411,2.304656,-6.394029,-1.13627,2.664869,-5.991754,-1.25193,2.209062,-5.933106,-1.28626,1.823621,-6.214768,-1.286089,1.726859,-6.272194,-1.28626,1.823621,-6.214768,-0.6228487,1.791732,-6.109382,-0.2925479,1.4158,-6.802091,-0.138436,0.9402415,-7.212976,-0.935993,1.775685,-6.165565,-0.9730767,1.380926,-6.924189,-0.9610782,0.8980852,-7.360571,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,158.4439988,159.2974947,77.43876526,135.9930434,0.1764132,0.1342569,1.691820255
4,10182024022249844,-0.794232,2.898844,-6.121779,-0.7921155,2.765942,-6.123998,-0.7848135,2.357104,-6.152703,-0.7758505,1.796796,-6.224889,-0.7921155,2.765942,-6.123998,-0.7921155,2.765942,-6.123998,-0.7758505,1.796796,-6.224889,-0.7758505,1.796796,-6.224889,-0.4642901,2.706391,-6.012331,-0.3264616,2.23801,-5.935395,-0.5802572,2.259144,-6.463864,-0.6508248,2.311111,-6.467908,-0.5802572,2.259144,-6.463864,-1.110065,2.667323,-6.08738,-1.227056,2.208644,-5.988582,-1.289893,1.829506,-6.249599,-1.299606,1.71821,-6.297348,-1.289893,1.829506,-6.249599,-0.6293365,1.803533,-6.27623,-0.3645918,1.199174,-6.741381,-0.3590209,0.514863,-6.684517,-0.9224882,1.797544,-6.316659,-1.036779,1.185441,-6.834084,-1.05911,0.5005599,-6.781067,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,134.5060577,135.1279827,72.8421209,133.791852,-0.2489653,-0.2632684,1.669886641
5,10182024022250863,-0.7420347,2.863898,-6.786477,-0.7483057,2.734594,-6.730299,-0.7663795,2.335507,-6.583306,-0.7876801,1.787195,-6.411122,-0.7483057,2.734594,-6.730299,-0.7483057,2.734594,-6.730299,-0.7876801,1.787195,-6.411122,-0.7876801,1.787195,-6.411122,-0.4278442,2.733932,-6.68587,-0.2962558,2.386803,-6.460853,-0.5395395,2.247634,-6.843006,-0.6163029,2.270769,-6.913435,-0.5395395,2.247634,-6.843006,-1.043566,2.715258,-6.701657,-1.266474,2.343728,-6.449269,-1.284975,1.888852,-6.319695,-1.292553,1.766541,-6.32159,-1.284975,1.888852,-6.319695,-0.6444079,1.783474,-6.489802,-0.5082338,1.286823,-7.139886,-0.3189699,0.8599817,-7.66851,-0.9294527,1.799913,-6.474587,-1.19741,1.326569,-7.1031,-1.488425,0.9274263,-7.606088,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,1,0,173.702802,174.2655892,70.19808156,150.1382632,0.0961534,0.163598,1.698149922
6,10182024022344236,-0.917027,2.48403,-2.238881,-0.915655,2.345205,-2.205576,-0.9108977,1.916634,-2.124383,-0.9024248,1.328789,-2.038079,-0.915655,2.345205,-2.205576,-0.915655,2.345205,-2.205576,-0.9024248,1.328789,-2.038079,-0.9024248,1.328789,-2.038079,-0.6145634,2.339341,-2.13238,-0.5734637,1.834261,-2.08022,-0.6864724,1.96526,-2.585529,-0.7298051,1.966342,-2.680292,-0.6864724,1.96526,-2.585529,-1.22084,2.266245,-2.247601,-1.301861,1.729326,-2.220866,-1.337028,1.273401,-2.280774,-1.352248,1.149166,-2.322889,-1.337028,1.273401,-2.280774,-0.7692309,1.340666,-2.070107,-0.5290521,0.5969241,-2.076538,-0.6434391,0.06533134,-1.906968,-1.03108,1.332237,-2.148044,-1.11641,0.5780156,-2.251359,-1.056129,0.0520457,-2.029801,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,145.4813188,146.9903735,69.07689904,168.907298,-0.69849696,-0.7117826,1.509218172
7,10182024022347134,-0.8129718,2.892144,-6.211855,-0.8103806,2.755825,-6.175673,-0.8011656,2.334999,-6.085976,-0.7877681,1.755639,-5.990388,-0.8103806,2.755825,-6.175673,-0.8103806,2.755825,-6.175673,-0.7877681,1.755639,-5.990388,-0.7877681,1.755639,-5.990388,-0.507153,2.754056,-6.103644,-0.421755,2.245806,-6.028731,-0.5352853,2.369063,-6.482384,-0.6381835,2.336589,-6.539774,-0.5352853,2.369063,-6.482384,-1.114992,2.710646,-6.188379,-1.296931,2.239952,-6.04935,-1.3388,1.780238,-6.075882,-1.340506,1.632352,-6.118395,-1.3388,1.780238,-6.075882,-0.6533359,1.768544,-6.025657,-0.4185833,1.02407,-6.028214,-0.5205882,0.4473989,-5.824478,-0.9179376,1.758264,-6.097504,-0.9951431,1.00167,-6.184768,-0.9365292,0.4312396,-5.937419,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,146.76528,148.0112918,65.02915677,155.5458383,-0.3164294,-0.3325887,1.558615826
8,10182024022348165,-0.7797179,3.034315,-6.265357,-0.7825831,2.906681,-6.192432,-0.791797,2.529181,-5.983634,-0.8052813,2.021594,-5.698226,-0.7825831,2.906681,-6.192432,-0.7825831,2.906681,-6.192432,-0.8052813,2.021594,-5.698226,-0.8052813,2.021594,-5.698226,-0.4769518,2.930621,-6.160001,-0.34798,2.480049,-5.832348,-0.4027117,2.329366,-6.058404,-0.5732036,2.560213,-6.109939,-0.4027117,2.329366,-6.058404,-1.07935,2.828559,-6.189837,-1.208562,2.436849,-5.850848,-1.271439,2.008426,-5.684279,-1.311598,1.901645,-5.615691,-1.271439,2.008426,-5.684279,-0.6641955,2.027878,-5.751798,-0.5411462,1.174205,-5.834536,-0.5327333,0.5361919,-5.74194,-0.9406055,2.020145,-5.786891,-0.9608458,1.162463,-5.887822,-0.9396348,0.5248084,-5.793602,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,0,0,0,0,0,0,164.3843276,164.5446031,85.21005881,159.7621381,-0.2276364,-0.2390199,1.670555024
9,10182024022349137,-0.8447849,2.996695,-5.419311,-0.8474404,2.863769,-5.394562,-0.8512357,2.45654,-5.339,-0.8521768,1.906663,-5.266086,-0.8474404,2.863769,-5.394562,-0.8474404,2.863769,-5.394562,-0.8521768,1.906663,-5.266086,-0.8521768,1.906663,-5.266086,-0.5431792,2.848053,-5.347108,-0.4181022,2.351714,-5.315493,-0.3135433,1.879885,-5.392653,-0.2722651,1.828975,-5.454108,-0.3135433,1.879885,-5.392653,-1.168281,2.817379,-5.38958,-1.292944,2.33801,-5.305457,-1.315674,1.886897,-5.474398,-1.358721,1.834474,-5.50705,-1.315674,1.886897,-5.474398,-0.7008999,1.914292,-5.319121,-0.4302433,1.859864,-6.130824,-0.5506278,1.23191,-5.924435,-0.9969622,1.907419,-5.354051,-1.057624,1.845302,-6.204843,-0.9717073,1.222136,-5.974114,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,0,0,73.25855491,73.49404812,167.2875706,147.734813,0.4680817,0.4583077,1.694664955
10,10182024022350161,-0.805567,3.039164,-5.274787,-0.8136075,2.907544,-5.251053,-0.8356678,2.498174,-5.183597,-0.861743,1.93938,-5.128977,-0.8136075,2.907544,-5.251053,-0.8136075,2.907544,-5.251053,-0.861743,1.93938,-5.128977,-0.861743,1.93938,-5.128977,-0.5169938,2.88581,-5.228092,-0.4047072,2.366036,-5.303164,-0.389405,1.936665,-5.55722,-0.3295851,1.862505,-5.582384,-0.389405,1.936665,-5.55722,-1.11364,2.84842,-5.246377,-1.245888,2.361147,-5.236389,-1.288987,1.928036,-5.396362,-1.322817,1.901724,-5.42896,-1.288987,1.928036,-5.396362,-0.7152565,1.944546,-5.182879,-0.3501684,1.79478,-5.967773,-0.4840623,1.313759,-6.025485,-1.001875,1.940871,-5.219376,-1.148272,1.784546,-6.069398,-1.035629,1.306687,-6.095718,-1.086,0.6359619,-7.92,-1.636,0.6359619,-7.537,-1.93,0.6359619,-6.94,0.39,0.6359619,-6.96,0.07300001,0.6359619,-7.501,-0.468,0.6359619,-7.869,-0.3338472,0.7638283,-12.22701,1,0,1,0,0,0,98.91842778,100.7763049,155.5240284,156.7409645,0.5499307,0.5428587,1.537315642
