game,execution_id,total_rows,defect_count,coverage,num_segments,mean_segment_length,max_segment_length,instability,instability_rate,severity_pattern
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_0,91,48,0.5274725274725275,11,4.363636363636363,14,21,0.23333333333333334,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_1,61,39,0.639344262295082,12,3.25,18,22,0.36666666666666664,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_0,125,109,0.872,8,13.625,63,14,0.11290322580645161,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_1,150,139,0.9266666666666666,10,13.9,83,18,0.12080536912751678,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_0,55,17,0.3090909090909091,2,8.5,13,2,0.037037037037037035,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_1,30,9,0.3,1,9.0,9,1,0.034482758620689655,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_2,45,33,0.7333333333333333,9,3.6666666666666665,9,17,0.38636363636363635,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-3fps__seq_0,107,88,0.822429906542056,10,8.8,22,18,0.16981132075471697,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-3fps__seq_1,76,18,0.23684210526315788,1,18.0,18,1,0.013333333333333334,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-5fps__seq_0,100,78,0.78,6,13.0,23,10,0.10101010101010101,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-5fps__seq_1,150,42,0.28,5,8.4,30,9,0.06040268456375839,severe_prolonged
PhantomLimb,PhantomLimb_Data__seq_0,1300,601,0.4623076923076923,49,12.26530612244898,290,96,0.07390300230946882,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person1-5fps-black__seq_0,100,93,0.93,3,31.0,68,4,0.04040404040404041,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person2-3fps-black__seq_0,46,11,0.2391304347826087,1,11.0,11,1,0.022222222222222223,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person2-5fps-black__seq_0,75,2,0.02666666666666667,1,2.0,2,1,0.013513513513513514,minor_isolated
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-1fps-black__seq_0,50,35,0.7,8,4.375,9,14,0.2857142857142857,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-1fps-white__seq_0,45,18,0.4,8,2.25,7,14,0.3181818181818182,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-5fps-white__seq_0,75,18,0.24,3,6.0,15,5,0.06756756756756757,severe_prolonged
PianoTiles,PianoTiles_Data_p1_5fps - Sheet1__seq_0,440,228,0.5181818181818182,45,5.066666666666666,64,89,0.20273348519362186,severe_prolonged
Puzzle,puzzle_data_5fps_p1_02__seq_0,300,86,0.2866666666666667,5,17.2,30,8,0.026755852842809364,minor_isolated
Sea,gameover_sea_data_5fps_p1_01__seq_0,300,168,0.56,6,28.0,151,10,0.033444816053511704,severe_prolonged
War,gameover_war_data_5fps_p1_01__seq_0,281,177,0.6298932384341637,9,19.666666666666668,87,16,0.05714285714285714,severe_prolonged
