game,execution_id,total_rows,defect_count,frequency,coverage,coverage_pct,instability,instability_rate,num_defect_segments,mean_segment_length,median_segment_length,max_segment_length,severity_pattern
PhantomLimb,PhantomLimb-Data-Extra-person4-3fps__seq_1,31,31,1.0,1.0,100.0,0,0.0,1,31.0,31.0,31,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-3fps__seq_2,76,76,1.0,1.0,100.0,0,0.0,1,76.0,76.0,76,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_0,1,1,1.0,1.0,100.0,0,0.0,1,1.0,1.0,1,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_1,200,193,0.965,0.965,96.5,4,0.020100502512562814,3,64.33333333333333,25.0,157,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person4-5fps__seq_2,124,99,0.7983870967741935,0.7983870967741935,79.83870967741935,17,0.13821138211382114,9,11.0,9.0,19,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-1fps__seq_0,35,18,0.5142857142857142,0.5142857142857142,51.42857142857142,13,0.38235294117647056,7,2.5714285714285716,2.0,5,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-1fps__seq_1,40,22,0.55,0.55,55.00000000000001,15,0.38461538461538464,8,2.75,2.0,7,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_0,91,48,0.5274725274725275,0.5274725274725275,52.74725274725275,21,0.23333333333333334,11,4.363636363636363,3.0,14,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-3fps__seq_1,61,39,0.639344262295082,0.639344262295082,63.934426229508205,22,0.36666666666666664,12,3.25,2.0,18,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_0,125,109,0.872,0.872,87.2,14,0.11290322580645161,8,13.625,5.5,63,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person5-5fps__seq_1,150,139,0.9266666666666666,0.9266666666666666,92.66666666666666,18,0.12080536912751678,10,13.9,4.0,83,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_0,55,17,0.3090909090909091,0.3090909090909091,30.909090909090907,2,0.037037037037037035,2,8.5,8.5,13,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_1,30,9,0.3,0.3,30.0,1,0.034482758620689655,1,9.0,9.0,9,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-1fps__seq_2,45,33,0.7333333333333333,0.7333333333333333,73.33333333333333,17,0.38636363636363635,9,3.6666666666666665,3.0,9,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-3fps__seq_0,107,88,0.822429906542056,0.822429906542056,82.2429906542056,18,0.16981132075471697,10,8.8,8.5,22,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-3fps__seq_1,76,18,0.23684210526315788,0.23684210526315788,23.684210526315788,1,0.013333333333333334,1,18.0,18.0,18,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-5fps__seq_0,100,78,0.78,0.78,78.0,10,0.10101010101010101,6,13.0,15.5,23,severe_prolonged
PhantomLimb,PhantomLimb-Data-Extra-person6-5fps__seq_1,150,42,0.28,0.28,28.000000000000004,9,0.06040268456375839,5,8.4,4.0,30,severe_prolonged
PhantomLimb,PhantomLimb_Data__seq_0,1300,601,0.4623076923076923,0.4623076923076923,46.23076923076923,96,0.07390300230946882,49,12.26530612244898,2.0,290,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person1-5fps-black__seq_0,100,93,0.93,0.93,93.0,4,0.04040404040404041,3,31.0,13.0,68,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person2-3fps-black__seq_0,46,11,0.2391304347826087,0.2391304347826087,23.91304347826087,1,0.022222222222222223,1,11.0,11.0,11,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person2-5fps-black__seq_0,75,2,0.02666666666666667,0.02666666666666667,2.666666666666667,1,0.013513513513513514,1,2.0,2.0,2,minor_isolated
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-1fps-black__seq_0,50,35,0.7,0.7,70.0,14,0.2857142857142857,8,4.375,4.5,9,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-1fps-white__seq_0,45,18,0.4,0.4,40.0,14,0.3181818181818182,8,2.25,1.0,7,severe_prolonged
PhantomLimb Holdout,PhantomLimb-Data-Test-person3-5fps-white__seq_0,75,18,0.24,0.24,24.0,5,0.06756756756756757,3,6.0,2.0,15,severe_prolonged
PianoTiles,PianoTiles_Data_p1_5fps - Sheet1__seq_0,440,228,0.5181818181818182,0.5181818181818182,51.81818181818182,89,0.20273348519362186,45,5.066666666666666,1.0,64,severe_prolonged
Puzzle,puzzle_data_5fps_p1_02__seq_0,300,86,0.2866666666666667,0.2866666666666667,28.666666666666668,8,0.026755852842809364,5,17.2,16.0,30,minor_isolated
Sea,gameover_sea_data_5fps_p1_01__seq_0,300,168,0.56,0.56,56.00000000000001,10,0.033444816053511704,6,28.0,4.0,151,severe_prolonged
War,gameover_war_data_5fps_p1_01__seq_0,281,177,0.6298932384341637,0.6298932384341637,62.989323843416365,16,0.05714285714285714,9,19.666666666666668,8.0,87,severe_prolonged
