GlobalID,EntryID,Spatial,Temporal,App,missing_joints_count,missing_joints_ratio,collapsed_joints_count,center_of_mass_x,center_of_mass_y,center_of_mass_z,distance_from_origin,bbox_width,bbox_height,bbox_depth,bbox_volume,max_joint_distance_from_com,distance_from_floor,below_floor,left_forearm_length,right_forearm_length,left_shin_length,right_shin_length,arm_length_symmetry,leg_length_symmetry,body_forward_x,body_forward_y,body_forward_z
351,06262025083807170,0,0,Archery,0,0.0,0,66.851634,3.8692909799999997,45.952918,81.21442639009764,4.624539999999996,5.7171857,0.9424500000000009,24.91776913684816,3.289257038532753,6.86929098,False,0.9325643015449327,0.9325609187693925,1.6158553803457323,1.6158553029974214,3.3827755402393578e-06,7.734831086736449e-08,0.004653968073400565,0.9997305167672603,-0.02274278842706524
352,06262025083807928,0,0,Archery,0,0.0,0,66.851634,3.8692909799999997,45.952918,81.21442639009764,4.624539999999996,5.7171857,0.9424500000000009,24.91776913684816,3.289257038532753,6.86929098,False,0.9325643015449327,0.9325609187693925,1.6158553803457323,1.6158553029974214,3.3827755402393578e-06,7.734831086736449e-08,0.004653968073400565,0.9997305167672603,-0.02274278842706524
353,06262025083808118,0,0,Archery,0,0.0,0,66.851634,3.8692909799999997,45.952918,81.21442639009764,4.624539999999996,5.7171857,0.9424500000000009,24.91776913684816,3.289257038532753,6.86929098,False,0.9325643015449327,0.9325609187693925,1.6158553803457323,1.6158553029974214,3.3827755402393578e-06,7.734831086736449e-08,0.004653968073400565,0.9997305167672603,-0.02274278842706524
354,06262025083808328,1,1,Archery,0,0.0,0,56.104043000000004,3.48261976,37.301394,67.46248050347562,1.6232800000000012,5.5731049,1.0552300000000017,9.546359500022058,2.8794937775959393,6.48261976,False,0.8397932557606086,0.916955032559394,1.5175276467208916,1.5622926581622318,0.07716177679878544,0.04476501144134026,0.03457576461819289,0.9964101723409814,0.07727408981335919
355,06262025083808521,1,1,Archery,0,0.0,0,56.10995700000001,3.4814777600000006,37.307429,67.47067674571869,1.5856899999999996,5.5723006999999996,1.0631799999999956,9.394196280762344,2.879308255766168,6.481477760000001,False,0.8349853249159526,0.9152038700398947,1.5183404861586514,1.562246516289952,0.08021854512394211,0.043906030131300566,0.033614090742883095,0.9963815410948016,0.07806354763317845
356,06262025083808717,1,1,Archery,0,0.0,0,56.100677000000005,3.51435161,37.328269,67.47619056847682,1.5090199999999996,5.5707969,1.1880099999999985,9.98693946282851,2.839798702154643,6.51435161,False,0.7945169172245463,0.8783871383871686,1.5181352024493746,1.5610514548096137,0.08387022116262233,0.042916252360239104,0.03221851299776976,0.9966196827524206,0.07557231881235968
357,06262025083808923,1,1,Archery,0,0.0,0,56.064945,3.5884142199999998,37.322511,67.44719862093936,1.5890799999999956,5.5672115,1.216540000000002,10.762418493713936,2.910005223532547,6.58841422,False,0.8143133120765015,0.7954864772106394,1.5169040005647318,1.5578527014516634,0.01882683486586212,0.04094870088693159,0.027921939352868505,0.9974943307752382,0.06500327202560026
358,06262025083809125,1,1,Archery,0,0.0,0,56.068646,3.5883699899999995,37.318164,67.44786748140629,1.618000000000002,5.5604695,1.1479199999999992,10.327652172175926,2.9059642552644145,6.5883699899999995,False,0.8249055072406812,0.8350499553685387,1.513606636592269,1.5540558912955014,0.01014444812785742,0.04044925470323246,0.03446999280232925,0.9977238210262894,0.05795685078493948
359,06262025083809319,1,1,Archery,0,0.0,0,56.07180100000001,3.5749292700000006,37.31967300000001,67.45061140935665,1.579509999999999,5.554888099999999,1.164520000000003,10.217499997172776,2.8885012839610518,6.57492927,False,0.8221497983944265,0.854014701093606,1.5114452157995137,1.5511556254683196,0.03186490269917952,0.0397104096688059,0.040428338383043716,0.9975899373456677,0.05639030379642455
360,06262025083809519,1,1,Archery,0,0.0,0,55.968695000000004,3.68701365,37.411791,67.42203642345721,2.043040000000005,5.549634200000001,1.4782399999999996,16.760469391438175,3.062295993334726,6.68701365,False,0.7277905430025875,0.8714795458873416,1.510732494460779,1.5499868946385449,0.14368900288475406,0.039254400177765936,0.03986973832296248,0.9975461441792789,0.057550796685293976
361,06262025083809724,1,1,Archery,0,0.0,0,55.910421,3.8904976999999996,37.437228999999995,67.39923785881697,2.641919999999999,5.5431689,1.559670000000004,22.840756976351837,3.311864891429563,6.890497699999999,False,0.753113918511664,0.9044848599622906,1.5107423348102793,1.5499838481563641,0.15137094145062657,0.03924151334608483,0.03350865239774809,0.9978579074306988,0.056185111840360784
