GlobalID,EntryID,Spatial,Temporal,App,missing_joints_count,missing_joints_ratio,collapsed_joints_count,center_of_mass_x,center_of_mass_y,center_of_mass_z,distance_from_origin,bbox_width,bbox_height,bbox_depth,bbox_volume,max_joint_distance_from_com,distance_from_floor,min_foot_height_above_floor,below_floor,left_forearm_length,right_forearm_length,left_shin_length,right_shin_length,arm_length_symmetry,leg_length_symmetry,body_upright_x,body_upright_y,body_upright_z,body_forward_x,body_forward_y,body_forward_z
5101,08062025071039871,0,0,Sea,0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5102,08062025071044823,0,0,Sea,0,0.0,0,0.13551641699999997,0.28148227000000003,-0.068142383,0.31975045263734886,4.184078,9.077138999999999,0.04359999999999999,1.6559043510479108,6.461764191770644,0.28148227000000003,2.3369,True,2.4876852235345392,2.4224686333014698,0.9310964214473226,0.8253980846191734,0.06521659023306947,0.10569833682814922,-0.01996494669612711,0.9997987476593908,0.0019659812142457677,-0.9998594172021694,0.0,-0.016767403858020252
5103,08062025071045188,0,0,Sea,0,0.0,0,0.56540355,0.23994521999999985,-0.067952386,0.6179582588788208,4.227669000000001,9.103038999999999,0.043399999999999994,1.670233193116349,6.526252229998528,0.23994521999999985,2.3369,True,2.4738344128121916,2.5437834778865436,0.749364159984323,0.45185542570716136,0.06994906507435195,0.2975087342771617,0.014700428675018964,0.9998901456048623,0.001895816198334949,0.9997228953195006,0.0,-0.023540020688067497
5104,08062025071045481,0,0,Sea,0,0.0,0,0.6412277599999998,0.24156208000000007,-0.068162386,0.6886010380138538,3.841221,9.143629,0.043699989999999994,1.5348616270180957,6.565688402832507,0.24156208000000007,2.3369,True,2.445196652463407,2.4516162078571764,0.7156066744443139,0.459317641549941,0.006419555393769372,0.25628903289437294,0.018770447368007686,0.9998223564212465,0.001710527950837553,-0.5471558325518654,0.0,-0.8370307610264242
5105,08062025071045724,0,0,Sea,0,0.0,0,0.5144736099999999,0.21935766000000007,-0.067012384,0.5632863729902146,3.9014439999999997,9.18846,0.04259999,1.5271356085212024,6.632336051730334,0.21935766000000007,2.3369,True,2.539319397391004,2.4503324336543826,0.6667921109508197,0.44196083164122146,0.0889869637366214,0.22483127930959823,0.0036247847634057677,0.999992557908827,0.001321008092435359,-0.9997687576835654,0.0,-0.02150421260730292
5106,08062025071045954,0,0,Sea,0,0.0,0,0.38122201999999994,0.17663248000000015,-0.065482382,0.4252260620848924,4.061568,9.224907,0.04359999999999999,1.6335867964340733,6.683861175838024,0.17663248000000015,2.3369,True,2.495672616496701,2.5685350031325815,0.826559410722599,0.6085799677577302,0.0728623866358804,0.21797944296486882,-0.010502073714337121,0.999943852622389,0.0014135241039438464,-0.9902069432871456,0.0,-0.13960734030103036
5107,08062025071046152,0,0,Sea,0,0.0,0,0.16998702660000006,0.09712753000000011,-0.064592386,0.20615897415679738,4.097843,9.403624,0.046399989999999995,1.788003884586937,6.7538115429316665,0.09712753000000011,2.3369,True,2.5486639119509444,2.5239270293555016,0.9937382263238946,0.7039799837907325,0.024736882595442822,0.2897582425331622,-0.03678934653126703,0.9993215152044596,0.001747349783418225,-0.6143557335796807,0.0,-0.7890291709548971
5108,08062025071046361,0,0,Sea,0,0.0,0,0.013437890000000046,-0.009287269999999959,-0.063422384,0.06549220613132876,4.237397,10.283994999999999,0.05039999999999999,2.1962994258751554,6.86216450968929,0.009287269999999959,2.3369,True,2.587653518698454,2.4793241089020532,1.114607730513188,1.1812715620889211,0.10832940979640071,0.06666383157573308,-0.05787932353785849,0.9983213882138623,0.00209517100652491,-0.9995354962943809,0.0,-0.03047608320545647
5109,08062025071046563,0,0,Sea,0,0.0,0,0.024526680000000096,-0.08851509800000001,-0.060582384999999996,0.11003047749628389,4.502242,10.424063,0.05589999,2.6234790032163087,6.98772787088136,0.08851509800000001,2.3369,True,2.627529051590296,2.5556020883299415,1.146185413713523,1.2700240662471716,0.07192696326035453,0.12383865253364856,-0.05885513613342867,0.998263851925898,0.002314063262793808,-0.9995560681094224,0.0,-0.02979373601332524
5110,08062025071046752,0,0,Sea,0,0.0,0,0.2662722900599999,-0.3134663000000001,-0.056902383,0.41521071142320676,4.737727,10.51566,0.060099999999999994,2.994201610919682,7.286494261962481,0.3134663000000001,2.3369,True,2.7809156527095533,2.765842645746068,1.6960456321930877,1.2700240662471716,0.015073006963485458,0.4260215659459161,-0.02447735164981386,0.9996989486801472,0.001694480457206339,-0.9989646541488036,0.0,-0.04549307377350014
