GlobalID,EntryID,Spatial,Temporal,App,missing_joints_count,missing_joints_ratio,collapsed_joints_count,center_of_mass_x,center_of_mass_y,center_of_mass_z,distance_from_origin,bbox_width,bbox_height,bbox_depth,bbox_volume,max_joint_distance_from_com,distance_from_floor,min_foot_height_above_floor,below_floor,left_forearm_length,right_forearm_length,left_shin_length,right_shin_length,arm_length_symmetry,leg_length_symmetry,body_upright_x,body_upright_y,body_upright_z,body_forward_x,body_forward_y,body_forward_z
1,09182024053549881,0,0,PianoTiles,0,0.0,0,5.7801576,0.69167303,-1.5326422999999998,6.019769587037068,1.100479,1.9186176000000001,0.962021,2.0312095788387796,1.1484928911578802,0.69167303,0.3364576,True,0.5991058517446146,0.5344771156547679,0.896891288036209,0.896465901951658,0.06462873608984676,0.0004253860845510049,-0.01662954601202475,0.6020805091133126,-0.7982621867189303,-0.1735160874511579,0.0,-0.9848310349474382
2,09182024053551961,0,0,PianoTiles,0,0.0,0,5.8527664,0.6353658799999999,-1.6279961,6.108104095057021,1.111739,1.9938144999999998,0.974809,2.160762934099475,1.2098574422684056,0.6353658799999999,0.4575105,True,0.5306510236097636,0.5207342937220863,0.9043520678406225,0.9144557602258352,0.009916729887677223,0.010103692385212693,-0.055131059024828365,0.510137384397191,-0.8583241901351687,0.06027495592496439,0.0,-0.9981818119402115
3,09182024053552444,0,0,PianoTiles,0,0.0,0,5.7995776,0.8198208600000003,-1.31167633,6.002308004059369,1.0548799999999998,2.2753238000000002,0.7082373000000001,1.6999066135961471,1.2185148137537387,0.8198208600000003,0.2407998,True,0.6305680287629558,0.5903948520281744,0.9584886386458892,0.9557566752040816,0.04017317673478138,0.0027319634418075944,-0.02925246459222998,0.9242540702822641,-0.38065562767670724,0.11456703236244392,0.0,-0.9934155198584642
4,09182024053552944,1,0,PianoTiles,0,0.0,0,5.7877578,0.9768270728399999,-1.0203069,5.95763020435824,1.113715,2.1542646166,0.7524052999999999,1.805198497424578,1.178718106845744,0.9768270728399999,0.0009673834,False,0.5613713878689311,0.5422715669762154,0.9796337045005133,0.9746949113271723,0.01909982089271578,0.004938793173341005,-0.02171883181516252,0.9730004413462368,-0.22977909714465578,-0.08470314704083112,0.0,-0.9964062308523463
5,09182024053553432,1,0,PianoTiles,0,0.0,0,5.8348298,1.017880079,-0.9479758199999999,5.9983311683748965,0.8686829999999999,2.11088324,0.6967651,1.277650071342554,1.1572150076015972,1.017880079,0.06139976,False,0.6445216209685212,0.631516637071748,0.9632361737221654,0.9658418631577507,0.013004983896773181,0.0026056894355852567,-0.017166062931671562,0.9838287509351855,-0.17828717036494365,0.013337432962227098,0.0,-0.9999110524851589
6,09182024053553933,1,0,PianoTiles,0,0.0,0,5.8538063,1.04668228,-0.88753058,6.012512164114167,0.8507360000000004,2.0336748,0.6843433,1.183996279743701,1.1443788250750144,1.04668228,0.1531672,False,0.6222798186340613,0.6517393071674364,0.9508359839392913,0.9535217142834242,0.0294594885333751,0.002685730344132997,-0.012413001420074185,0.9873122082472668,-0.15830515102690412,-0.01889507665546579,0.0,-0.999821472102987
7,09182024053554437,1,0,PianoTiles,0,0.0,0,5.782806899999999,1.10001213,-4.3778748,7.335984602853919,0.8575080000000002,2.0154655,0.6838610000000003,1.1819017777294103,1.142980889313652,1.10001213,0.2229405,False,0.6414431597491708,0.6485954911052034,0.9439999076731737,0.9447167898302907,0.00715233135603266,0.0007168821571170714,-0.00762259643567926,0.987084050465333,-0.16002179020536755,-0.037111647911637145,0.0,-0.9993111255206172
8,09182024053554947,1,0,PianoTiles,0,0.0,0,5.7805929,1.09479902,-4.3873349,7.339110756384685,0.8653940000000002,2.0279521,0.6876309999999997,1.2067769880567683,1.1506978104436023,1.09479902,0.2160549,False,0.6230054809173027,0.6500250208953502,0.9413902615202477,0.9369955615914094,0.027019539978047513,0.0043946999288383415,-0.016277893812288006,0.978044744497443,-0.20775829209436414,-0.030939238578537007,0.0,-0.9995212671655269
9,09182024053555446,1,0,PianoTiles,0,0.0,0,5.808831100000001,1.13946182,-4.5403756,7.460288370876845,0.9418769999999999,2.0250712,0.885974,1.6898784445975137,1.1250271179557598,1.13946182,0.2282248,False,0.5484336401443662,0.6252012771396105,0.766666574106006,0.7697855828328821,0.07676763699524425,0.0031190087268760935,-0.0036569985282305065,0.9678751733064089,-0.2514046046890418,0.13189873303021526,0.0,-0.9912631962425641
10,09182024053555938,1,0,PianoTiles,0,0.0,0,5.757210500000001,1.16086543,-4.694467400000001,7.518717008741725,0.8938999999999995,1.9673934000000002,1.4841030000000002,2.610022134280746,1.2185541335876195,1.16086543,0.2847806,False,0.5665887874287657,0.6346555917558748,0.8664377139950682,0.8624341694059956,0.0680668043271091,0.004003544589072594,0.042456196532527184,0.958611179693452,-0.28153521545753285,0.138896890396031,0.0,-0.9903068483244538
